Year	Rating	Conference	Title	Author Names
1996	7.702787876	Action	The Rock 	Sean Connery; Nicolas Cage; Ed Harris; John Spencer; David Morse; William Forsythe; Michael Biehn; Vanessa Marcil; John C. McGinley; Bokeem Woodbine 
2004	8.10750103	Action	Lost 	Dean Cain; Ashley Scott; Danny Trejo; Justin Henry 
1975	7.615695	Drama	One Flew Over the Cuckoo's Nest 	Jack Nicholson; Louise Fletcher; William Redfield; Scatman Crothers; Danny DeVito; Brad Dourif; Christopher Lloyd; Will Sampson; Michael Berryman; Sydney Lassick 
2007	6.781079769	Action	Hitman 	Timothy Olyphant; Dougray Scott; Robert Knepper; Ulrich Thomsen; Henry Ian Cusick; Eriq Ebouaney; James Faulkner 
1981	7.709866047	Action	Raiders of the Lost Ark 	Harrison Ford; Karen Allen; Paul Freeman; Ronald Lacey; John Rhys-Davies; Denholm Elliott; Wolf Kahler; Anthony Higgins; Vic Tablian; Don Fellows 
2008	7.821805477	Action	The Dark Knight 	Christian Bale; Aaron Eckhart; Michael Caine; Maggie Gyllenhaal; Gary Oldman; Morgan Freeman; Monique Gabriela Curnen; Ron Dean; Cillian Murphy; Chin Han 
1995	7.376439571	Drama	Before Sunrise 	Ethan Hawke; Julie Delpy; Andrea Eckert; Hanno P\u00f6schl; Tex Rubinowitz; Hans Weingartner; Haymon Maria Buttinger; Erni Mangold 
1991	7.697786331	Drama	The Silence of the Lambs 	Jodie Foster; Anthony Hopkins; Anthony Heald; Ted Levine; Frankie Faison; Kasi Lemmons; Brooke Smith; Tracey Walter; Obba Babatund\u00e9; Diane Baker 
1997	7.415234089	Action	Men in Black 	Tommy Lee Jones; Will Smith; Linda Fiorentino; Vincent D'Onofrio; Rip Torn; Tony Shalhoub; Jon Gries; Sergio Calder\u00f3n; Carel Struycken; Fredric Lehne 
1966	7.536423683	Action	Il buono il brutto il cattivo 	Eli Wallach; Clint Eastwood; Lee Van Cleef; Aldo Giuffr\u00e8; Luigi Pistilli; Rada Rassimov; John Bartha; Livio Lorenzon; Claudio Scarchilli; Benito Stefanelli 
2002	7.792819023	Action	The Lord of the Rings: The Two Towers 	Elijah Wood; Ian McKellen; Viggo Mortensen; Liv Tyler; Orlando Bloom; John Rhys-Davies; Christopher Lee; Sean Astin; Billy Boyd; Dominic Monaghan 
1977	7.889649868	Action	Star Wars: Episode IV - A New Hope 	Mark Hamill; Carrie Fisher; Harrison Ford; Peter Cushing; Anthony Daniels; Kenny Baker; Alec Guinness; Peter Mayhew; David Prowse; James Earl Jones 
2008	7.414276123	Drama	The Curious Case of Benjamin Button 	Cate Blanchett; Brad Pitt; Tilda Swinton; Elle Fanning; Jason Flemyng; Elias Koteas; Julia Ormond; Taraji P. Henson; Bianca Chiminello; Josh Stewart 
2008	7.573534966	Drama	Gran Torino 	
1964	7.371675014	Action	Per un pugno di dollari 	Clint Eastwood; Wolfgang Lukschy; Jos\u00e9 Calvo; Gian Maria Volont\u00e9; Sieghardt Rupp; Margarita Lozano; Daniel Mart\u00edn; Benito Stefanelli; Mario Brega; Joseph Egger 
2003	7.836940289	Drama	Big Fish 	Ewan McGregor; Albert Finney; Billy Crudup; Jessica Lange; Helena Bonham Carter; Alison Lohman; Marion Cotillard; Robert Guillaume; Matthew McGrory; David Denman 
2002	7.347123146	Action	Star Wars: Episode II - Attack of the Clones 	Ewan McGregor; Natalie Portman; Hayden Christensen; Christopher Lee; Ian McDiarmid; Samuel L. Jackson; Rose Byrne; Frank Oz; Anthony Daniels; Kenny Baker 
2012	7.615682125	Action	Tangled Ever After 	Zachary Levi; Mandy Moore; Kari Wahlgren 
1995	7.911232471	Action	Braveheart 	Mel Gibson; Catherine McCormack; Sophie Marceau; Patrick McGoohan; Angus Macfadyen; Brendan Gleeson; James Robinson; James Cosmo; Sean McGinley; Jeanne Marine 
2004	7.432071209	Action	I Robot 	Will Smith; Alan Tudyk; James Cromwell; Bruce Greenwood; Shia LaBeouf; Bridget Moynahan; Chi McBride; Jerry Wasserman; Terry Chen; Scott Heindl 
1992	7.427024364	Drama	The Player 	Tim Robbins; Greta Scacchi; Fred Ward; Whoopi Goldberg; Peter Gallagher; Brion James; Cynthia Stevenson; Vincent D'Onofrio; Dean Stockwell; Richard E. Grant 
1982	7.986302853	Drama	Blade Runner 	Harrison Ford; Rutger Hauer; Sean Young; Edward James Olmos; M. Emmet Walsh; Daryl Hannah; William Sanderson; Brion James; Joe Turkel; Joanna Cassidy 
2006	7.454519749	Drama	All the King's Men 	Sean Penn; Jude Law; Kate Winslet; Patricia Clarkson; James Gandolfini; Mark Ruffalo; Anthony Hopkins; Kathy Baker; Jackie Earle Haley 
1960	7.464035034	Drama	Psycho 	Anthony Perkins; Vera Miles; John Gavin; Janet Leigh; Martin Balsam; John McIntire; Simon Oakland; Frank Albertson; Patricia Hitchcock; Vaughn Taylor 
2004	7.325244427	Action	Ocean's Twelve 	
1985	7.385962486	Drama	A Chorus Line 	Michael Douglas; Janet Jones; Terrence Mann; Khandi Alexander 
2005	7.341584682	Action	Sin City 	Bruce Willis; Mickey Rourke; Clive Owen; Jessica Alba; Elijah Wood; Josh Hartnett; Jaime King; Rutger Hauer; Benicio Del Toro; Rosario Dawson 
2010	7.611492634	Fantasy	Tangled 	Mandy Moore; Zachary Levi; Donna Murphy; M.C. Gainey; Ron Perlman; Paul F. Tompkins; Jeffrey Tambor; Brad Garrett; Richard Kiel 
2001	7.690537453	Action	Ocean's Eleven 	George Clooney; Brad Pitt; Matt Damon; Andy Garcia; Julia Roberts; Casey Affleck; Scott Caan; Carl Reiner; Don Cheadle; Bernie Mac 
1973	7.946097374	Drama	The Sting 	Paul Newman; Robert Redford; Robert Shaw; Charles Durning; Ray Walston; Eileen Brennan; Harold Gould; Dana Elcar; James Sloyan; Charles Dierkop 
1960	7.854563713	Drama	The Apartment 	Jack Lemmon; Shirley MacLaine; Fred MacMurray; Ray Walston; Jack Kruschen; Naomi Stevens; Hope Holiday; Edie Adams; Joan Shawlee; Johnny Seven 
1999	7.410350323	Drama	The Insider 	Al Pacino; Russell Crowe; Christopher Plummer; Diane Venora; Philip Baker Hall; Lindsay Crouse; Debi Mazar; Stephen Tobolowsky; Colm Feore; Bruce McGill 
1992	8.037997246	Horror	Braindead 	Brenda Kendall; Stephen Papps 
1987	7.96503067	Fantasy	Braindead 	
1979	7.404252529	Action	Apocalypse Now 	Martin Sheen; Marlon Brando; Robert Duvall; Laurence Fishburne; Sam Bottoms; Frederic Forrest; Albert Hall; Harrison Ford; Dennis Hopper; G.D. Spradlin 
2003	7.393506527	Fantasy	Bruce Almighty 	Jim Carrey; Jennifer Aniston; Philip Baker Hall; Catherine Bell; Lisa Ann Walter; Steve Carell; Nora Dunn; Paul Satterfield; Morgan Freeman; Eddie Jemison 
1994	8.008194923	Drama	The Shawshank Redemption 	Tim Robbins; Morgan Freeman; Bob Gunton; William Sadler; Clancy Brown; Gil Bellows; Mark Rolston; James Whitmore; Renee Blaine; Brian Delate 
1987	7.464399338	Action	Predator 	Arnold Schwarzenegger; Carl Weathers; Elpidia Carrillo; Bill Duke; Jesse Ventura; Richard Chaves; R.G. Armstrong; Shane Black; Kevin Peter Hall; Kevin Peter Hall 
2002	7.168612003	Fantasy	Pulse: A Stomp Odyssey 	Keith Middleton 
1981	7.778640747	Horror	The Evil Dead 	Bruce Campbell; Sam Raimi 
2001	7.780333996	Action	The Lord of the Rings: The Fellowship of the Ring 	Elijah Wood; Ian McKellen; Viggo Mortensen; Liv Tyler; Orlando Bloom; John Rhys-Davies; Sean Bean; Christopher Lee; Sean Astin; Billy Boyd 
2003	7.94919157	Action	The Lord of the Rings: The Return of the King 	Elijah Wood; Ian McKellen; Viggo Mortensen; Liv Tyler; Orlando Bloom; John Rhys-Davies; Sean Astin; Billy Boyd; Dominic Monaghan; Hugo Weaving 
1984	7.441287994	Fantasy	Gremlins 	Zach Galligan; Phoebe Cates; Hoyt Axton; Dick Miller; John Louie; Keye Luke; Don Steele; Susan Burgess; Scott Brady; Harry Carey Jr. 
2008	6.900875568	Comedy	Semi-Pro 	Will Ferrell; Maura Tierney; Woody Harrelson; David Koechner; Will Arnett; Andr\u00e9 Benjamin; Andy Richter; Rob Corddry; Tim Meadows; Jackie Earle Haley 
1987	7.606404305	Fantasy	Evil Dead II 	Bruce Campbell; Sarah Berry; Dan Hicks; Kassie Wesley DePaiva; Denise Bixler; Richard Domeier; John Peakes; Lou Hancock; Ted Raimi 
1995	7.626762867	Horror	Se7en 	Brad Pitt; Morgan Freeman; Gwyneth Paltrow; R. Lee Ermey; Kevin Spacey; Daniel Zacapa; John Cassini; Hawthorne James; Richard Roundtree; John C. McGinley 
1992	7.624846935	Fantasy	Unforgiven 	Clint Eastwood; Gene Hackman; Richard Harris; Jaimz Woolvett; Anna Levine; Saul Rubinek; Frances Fisher; Rob Campbell; Anthony James; Morgan Freeman 
1998	7.41279459	Fantasy	El viento se llev\u00f3 lo qu\u00e9 	Fabi\u00e1n Vena; \u00c1ngela Molina; Jean Rochefort; Ulises Dumont 
1999	7.654053688	Drama	Notting Hill 	Julia Roberts; Hugh Grant; Richard McCabe; Rhys Ifans; James Dreyfus; Dylan Moran; Emma Chambers; Alec Baldwin; John Shrapnel 
2006	6.708915234	Drama	Volver 	Pen\u00e9lope Cruz; Carmen Maura; Lola Due\u00f1as; Blanca Portillo; Yohana Cobo; Chus Lampreave; Antonio de la Torre; Carlos Blanco; Mar\u00eda Isabel D\u00edaz; Carlos Garc\u00eda Cambero 
1958	7.642534733	Horror	Vertigo 	James Stewart; Kim Novak; Barbara Bel Geddes; Henry Jones; Raymond Bailey; Ellen Corby; Konstantin Shayne; Lee Patrick; Bess Flowers 
1990	7.56563282	Drama	Ghost 	Patrick Swayze; Demi Moore; Tony Goldwyn; Whoopi Goldberg; Vincent Schiavelli; Stephen Root; Angelina Estrada; Phil Leeds; Alma Beltran 
1959	7.836383343	Drama	Some Like It Hot 	Marilyn Monroe; Tony Curtis; Jack Lemmon; George Raft; Joe E. Brown; Nehemiah Persoff; Joan Shawlee; Edward G. Robinson Jr.; Pat O'Brien; George E. Stone 
1982	7.655889511	Drama	E.T. the Extra-Terrestrial 	Henry Thomas; Peter Coyote; Drew Barrymore; Erika Eleniak; C. Thomas Howell; Robert MacNaughton; Dee Wallace 
1994	7.93121767	Drama	Forrest Gump 	Tom Hanks; Robin Wright; Gary Sinise; Mykelti Williamson; Sally Field; Peter Dobson; Sonny Shroyer; Jed Gillin; Afemo Omilami; Steven Griffith 
1989	7.784684658	Action	Back to the Future Part II 	Michael J. Fox; Christopher Lloyd; Lea Thompson; Elisabeth Shue; James Tolkan; Jeffrey Weissman; Casey Siemaszko; Billy Zane; Darlene Vogel; Elijah Wood 
1990	7.534990311	Action	Back to the Future Part III 	Michael J. Fox; Christopher Lloyd; Mary Steenburgen; Thomas F. Wilson; Lea Thompson; Elisabeth Shue; James Tolkan; Matt Clark; Christopher Wynne; Sean Sullivan 
1985	7.974382401	Comedy	Back to the Future 	Michael J. Fox; Christopher Lloyd; Lea Thompson; Crispin Glover; Thomas F. Wilson; Marc McClure; Wendie Jo Sperber; George DiCenzo; Frances Lee McCain; James Tolkan 
2005	7.642281532	Action	Batman Begins 	Christian Bale; Michael Caine; Liam Neeson; Katie Holmes; Gary Oldman; Cillian Murphy; Tom Wilkinson; Rutger Hauer; Ken Watanabe; Mark Boone Junior 
2009	7.526015759	Action	Inglourious Basterds 	Brad Pitt; Christoph Waltz; M\u00e9lanie Laurent; Diane Kruger; Michael Fassbender; Samuel L. Jackson; Eli Roth; Til Schweiger; B.J. Novak; Gedeon Burkhard 
2004	7.447886944	Action	Kill Bill: Vol. 2 	Uma Thurman; David Carradine; Daryl Hannah; Michael Madsen; Michael Parks; Lucy Liu; Vivica A. Fox; Christopher Allen Nelson; Samuel L. Jackson; Gordon Liu Chia-Hui 
1999	7.392483234	Horror	Sleepy Hollow 	Johnny Depp; Ian McDiarmid; Casper Van Dien; Michael Gough; Christopher Walken; Lisa Marie; Steven Waddington; Christopher Lee; Miranda Richardson; Michael Gambon 
1994	7.548460484	Drama	Ed Wood 	Johnny Depp; Martin Landau; Sarah Jessica Parker; Patricia Arquette; Jeffrey Jones; G.D. Spradlin; Vincent D'Onofrio; Bill Murray; Mike Starr; Max Casella 
1999	7.468686104	Drama	The Sixth Sense 	Bruce Willis; Haley Joel Osment; Toni Collette; Olivia Williams; Mischa Barton; Donnie Wahlberg; Trevor Morgan; Greg Wood; Jeffrey Zubernis; Glenn Fitzgerald 
1984	7.148623943	Action	The Terminator 	Arnold Schwarzenegger; Michael Biehn; Linda Hamilton; Paul Winfield; Lance Henriksen; Bess Motta; Earl Boen; Rick Rossovich; Bill Paxton; Brian Thompson 
1990	7.945834637	Drama	Pretty Woman 	Julia Roberts; Richard Gere; Ralph Bellamy; Jason Alexander; Hector Elizondo; Larry Miller; Laura San Giacomo; Alex Hyde-White; Elinor Donahue; Amy Yasbeck 
1996	7.652547836	Action	From Dusk Till Dawn 	George Clooney; Quentin Tarantino; Harvey Keitel; Juliette Lewis; Salma Hayek; Cheech Marin; Danny Trejo; Tom Savini; Fred Williamson; Michael Parks 
1998	7.656503201	Drama	American History X 	Edward Norton; Edward Furlong; Beverly D'Angelo; Avery Brooks; Jennifer Lien; Ethan Suplee; Stacy Keach; Fairuza Balk; Elliott Gould; Guy Torry 
1997	8.054066658	Drama	La vita \u00e8 bella 	Nicoletta Braschi; Roberto Benigni; Horst Buchholz; Pietro De Silva; Marisa Paredes 
1979	7.958429813	Comedy	Monty Python's Life of Brian 	Graham Chapman; John Cleese; Terry Gilliam; Eric Idle; Terry Jones; Michael Palin; Carol Cleveland; Kenneth Colley; Gwen Taylor; Sue Jones-Davies 
1982	7.592532158	Drama	Gandhi 	Ben Kingsley; Rohini Hattangadi; Candice Bergen; Roshan Seth; Om Puri; Saeed Jaffrey; Martin Sheen; Amrish Puri; Edward Fox; Geraldine James 
1994	7.309940815	Action	The Client 	Susan Sarandon; Tommy Lee Jones; Mary-Louise Parker; Anthony LaPaglia; Bradley Whitford; Will Patton; Brad Renfro; Anthony Edwards; J.T. Walsh; Anthony Heald 
2007	7.674380302	Action	I Am Legend 	Will Smith; Alice Braga; Charlie Tahan; Willow Smith; April Grace; Dash Mihok; Joanna Numata; Salli Richardson-Whitfield; Marin Ireland 
1998	8.023195267	Comedy	El grito en el cielo 	Maria Conchita Alonso; Loles Le\u00f3n; Daniel Guzm\u00e1n 
1989	7.804993629	Action	Indiana Jones and the Last Crusade 	Harrison Ford; Sean Connery; Denholm Elliott; John Rhys-Davies; Julian Glover; River Phoenix; Michael Byrne; Kevork Malikyan; Alexei Sayle; Vernon Dobtcheff 
2003	7.952755451	Drama	Love Actually 	Bill Nighy; Gregor Fisher; Colin Firth; Sienna Guillory; Liam Neeson; Emma Thompson; Kris Marshall; Heike Makatsch; Martin Freeman; Joanna Page 
1980	7.577932835	Horror	The Shining 	Jack Nicholson; Shelley Duvall; Danny Lloyd; Scatman Crothers; Barry Nelson; Philip Stone; Joe Turkel; Anne Jackson; Tony Burton 
1988	6.809391022	Drama	Mujeres al borde de un ataque de nervios 	Carmen Maura; Antonio Banderas; Julieta Serrano; Mar\u00eda Barranco; Rossy de Palma; Kiti Manver; Guillermo Montesinos; Loles Le\u00f3n; Agust\u00edn Almod\u00f3var; Ana Leza 
2005	7.998543739	Action	El padrino 	Damian Chapa; Sal Lopez; Emilio Rivera; Jennifer Tilly; Faye Dunaway; Joanna Pacula 
1990	7.663137913	Drama	Edward Scissorhands 	Johnny Depp; Winona Ryder; Dianne Wiest; Alan Arkin; Anthony Michael Hall; Vincent Price; Kathy Baker; Robert Oliveri; Conchata Ferrell; Caroline Aaron 
2010	7.223376274	Action	The Karate Kid 	Jaden Smith; Jackie Chan; Taraji P. Henson; Yu Rong-Guang 
2011	7.431196213	Action	Never Back Down 2: The Beatdown 	Gralen Bryant Banks; Eddie Bravo; Michael Jai White; Alex Meraz 
1972	8.04008007	Drama	The Godfather 	Marlon Brando; Al Pacino; James Caan; Robert Duvall; Sterling Hayden; Richard Conte; Al Lettieri; Diane Keaton; Abe Vigoda; Talia Shire 
1974	7.819535732	Drama	The Godfather: Part II 	Al Pacino; Robert Duvall; Diane Keaton; Robert De Niro; John Cazale; Talia Shire; Lee Strasberg; Michael V. Gazzo; G.D. Spradlin; Richard Bright 
2000	8.112346649	Drama	Cast Away 	Tom Hanks; Helen Hunt; Chris Noth; Paul Sanchez; Nick Searcy 
2009	7.94157505	Comedy	The Hangover 	
2008	7.950500011	Action	Never Back Down 	Djimon Hounsou; Sean Faris; Amber Heard; Cam Gigandet; Leslie Hope 
1993	7.706193924	Drama	Schindler's List 	Liam Neeson; Ben Kingsley; Ralph Fiennes; Caroline Goodall; Jonathan Sagall; Embeth Davidtz; Mark Ivanir; B\u00e9atrice Macola; Andrzej Seweryn; Friedrich von Thun 
2010	7.571643829	Drama	Shutter Island 	Leonardo DiCaprio; Mark Ruffalo; Ben Kingsley; Emily Mortimer; Michelle Williams; Max von Sydow; Jackie Earle Haley; Patricia Clarkson; Ted Levine; John Carroll Lynch 
1999	7.766526699	Drama	The Green Mile 	Tom Hanks; Michael Clarke Duncan; Bonnie Hunt; David Morse; Michael Jeter; Graham Greene; Patricia Clarkson; Dabbs Greer; Gary Sinise; Doug Hutchison 
2003	7.662361622	Action	Kill Bill: Vol. 1 	Uma Thurman; Lucy Liu; David Carradine; Michael Madsen; Daryl Hannah; Vivica A. Fox; Michael Parks; Chiaki Kuriyama; Sonny Chiba; Julie Dreyfus 
2010	7.561763287	Fantasy	How to Train Your Dragon 	Jay Baruchel; Gerard Butler; Craig Ferguson; America Ferrera; Jonah Hill; Christopher Mintz-Plasse; T.J. Miller; Kristen Wiig; Kieron Elliott; Ashley Jensen 
2000	7.705922604	Action	Gone In Sixty Seconds 	Nicolas Cage; Giovanni Ribisi; Angelina Jolie; T.J. Cross; Robert Duvall; William Lee Scott; Scott Caan; James Duval; Delroy Lindo; Timothy Olyphant 
2008	7.31836462	Action	Hancock 	Will Smith; Charlize Theron; Jason Bateman; Martin Klebba; Eddie Marsan; David Mattey; Johnny Galecki; Thomas Lennon; Trieu Tran; Algerita Wynn Lewis 
2004	7.930829525	Drama	The Notebook 	Rachel McAdams; Ryan Gosling; Gena Rowlands; James Garner; Sam Shepard; Joan Allen; James Marsden; Heather Wahlquist 
2003	7.040802479	Action	The League of Extraordinary Gentlemen 	Sean Connery; Naseeruddin Shah; Peta Wilson; Tony Curran; Stuart Townsend; Shane West; Jason Flemyng; Richard Roxburgh; David Hemmings; Terry O'Neill 
1940	7.542155266	Drama	Rebecca 	Laurence Olivier; Joan Fontaine; George Sanders; Judith Anderson; Nigel Bruce; Reginald Denny; Gladys Cooper; Florence Bates; Leo G. Carroll; Lumsden Hare 
2004	7.492472172	Drama	Eternal Sunshine of the Spotless Mind 	Kate Winslet; Jim Carrey; Elijah Wood; Mark Ruffalo; Kirsten Dunst; Tom Wilkinson; Ryan Whitney; Jane Adams; Debbon Ayer; David Cross 
1984	7.499333858	Action	Indiana Jones and the Temple of Doom 	Harrison Ford; Kate Capshaw; Jonathan Ke Quan; Amrish Puri; Roshan Seth; Philip Stone; Roy Chiao; Ric Young; Dan Aykroyd 
1990	8.146673203	Action	The Adventures of Ford Fairlane 	Andrew Dice Clay; Priscilla Presley; Lauren Holly; Ed O'Neill; Maddie Corman; Gilbert Gottfried; Robert Englund; Sheila E.; Kari Wuhrer; Pamela Adlon 
1998	7.607611179	Drama	The Truman Show 	Jim Carrey; Laura Linney; Noah Emmerich; Natascha McElhone; Ed Harris; Holland Taylor; Brian Delate; Heidi Schanz; Don Taylor; Ted Raymond 
2009	7.864714146	Action	Zombieland 	Woody Harrelson; Jesse Eisenberg; Emma Stone; Abigail Breslin; Bill Murray; Amber Heard 
1994	7.668093204	Drama	When a Man Loves a Woman 	Andy Garcia; Meg Ryan; Ellen Burstyn; Tina Majorino; Philip Seymour Hoffman; Lauren Tom 
1986	7.756710052	Action	Aliens 	Sigourney Weaver; Michael Biehn; Lance Henriksen; Paul Reiser; Bill Paxton; William Hope; Jenette Goldstein; Mark Rolston; Daniel Kash; Ricco Ross 
1979	7.752098083	Action	Alien 	Sigourney Weaver; Tom Skerritt; Veronica Cartwright; Harry Dean Stanton; John Hurt; Ian Holm; Yaphet Kotto; Helen Horton 
1969	7.49912262	Action	Butch Cassidy and the Sundance Kid 	Paul Newman; Robert Redford; Katharine Ross; Strother Martin; Henry Jones; Jeff Corey; George Furth; Cloris Leachman; Kenneth Mars; Donnelly Rhodes 
1971	7.486823559	Drama	A Clockwork Orange 	Malcolm McDowell; Patrick Magee; Adrienne Corri; Michael Bates; Warren Clarke; James Marcus; Carl Duering; Miriam Karlin; Aubrey Morris; Godfrey Quigley 
2010	7.945910931	Action	Inception 	Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page; Tom Hardy; Ken Watanabe; Dileep Rao; Cillian Murphy; Tom Berenger; Marion Cotillard; Pete Postlethwaite 
1994	7.947475433	Horror	Pulp Fiction 	John Travolta; Samuel L. Jackson; Uma Thurman; Harvey Keitel; Tim Roth; Amanda Plummer; Maria de Medeiros; Ving Rhames; Eric Stoltz; Rosanna Arquette 
1978	7.9004879	Drama	Grease 	John Travolta; Olivia Newton-John; Stockard Channing; Jeff Conaway; Didi Conn; Kelly Ward; Dinah Manoff; Eve Arden; Edd Byrnes; Joan Blondell 
1998	7.155350208	Drama	He Got Game 	Denzel Washington; Milla Jovovich; Rosario Dawson 
1998	7.265221119	Drama	El abuelo 	Fernando Fern\u00e1n G\u00f3mez; Rafael Alonso; Agust\u00edn Gonz\u00e1lez; Fernando Guill\u00e9n; Jos\u00e9 Caride 
2000	8.054653168	Action	Gladiator 	Russell Crowe; Joaquin Phoenix; Connie Nielsen; Oliver Reed; Richard Harris; Derek Jacobi; Djimon Hounsou; John Shrapnel; Tomas Arana; Ralf Moeller 
1992	7.96267271	Action	Gladiator 	James Marshall; Cuba Gooding Jr.; Robert Loggia; Brian Dennehy; Cara Buono 
1996	7.693193436	Comedy	Space Jam 	Michael Jordan; Wayne Knight; Billy West; Dee Bradley Baker; Theresa Randle; Danny DeVito; Brandon Hammond; Larry Bird; Bill Murray 
1968	7.433819771	Fantasy	Barbarella 	Jane Fonda; John Phillip Law; Anita Pallenberg; Marcel Marceau; Claude Dauphin; Milo O'Shea; V\u00e9ronique Vendell; Serge Marquand; David Hemmings; Ugo Tognazzi 
1997	7.051827908	Action	Seven Years in Tibet 	Brad Pitt; Jamyang Jamtsho Wangchuk; David Thewlis; B.D. Wong; Mako; Ingeborga Dapkunaite; Lhakpa Tsamchoe; Duncan Fraser; Danny Denzongpa; Victor Wong 
1954	7.343046188	Horror	Rear Window 	Grace Kelly; James Stewart; Wendell Corey; Thelma Ritter; Raymond Burr; Judith Evelyn; Ross Bagdasarian; Georgine Darcy; Sara Berner; Frank Cady 
1986	7.546545506	Drama	The Name of the Rose 	Sean Connery; Christian Slater; Elya Baskin; Ron Perlman; F. Murray Abraham; Michael Lonsdale 
1984	7.890693188	Action	Top Secret! 	Val Kilmer; Peter Cushing; Jeremy Kemp; Christopher Villiers; Warren Clarke; Jim Carter; Omar Sharif; Tristram Jellinek; Ian McNeice 
2012	7.479943752	Action	The Hobbit: An Unexpected Journey 	Martin Freeman; Richard Armitage; Ian McKellen; Andy Serkis; Cate Blanchett; Christopher Lee; Sylvester McCoy; Ian Holm; Elijah Wood; Hugo Weaving 
2011	6.582322598	Drama	La piel que habito 	Antonio Banderas; Elena Anaya; Marisa Paredes; Jan Cornet; Roberto \u00c1lamo; Eduard Fern\u00e1ndez; B\u00e1rbara Lennie; Fernando Cayo 
2002	8.036693573	Comedy	Ali G Indahouse 	Sacha Baron Cohen; Emilio Rivera; Gina La Piana 
2002	7.636757851	Drama	The Pianist 	Adrien Brody; Thomas Kretschmann; Frank Finlay; Maureen Lipman; Emilia Fox; Ed Stoppard; Richard Ridings 
1990	7.332101822	Action	The Godfather: Part III 	Al Pacino; Diane Keaton; Andy Garcia; Talia Shire; Sofia Coppola; Eli Wallach; Joe Mantegna; George Hamilton; Bridget Fonda; Raf Vallone 
2013	7.322019577	Drama	Before Midnight 	Ethan Hawke; Julie Delpy; Seamus Davey-Fitzpatrick; Xenia Kalogeropoulou; Ariane Labed; Athina Rachel Tsangari; Yannis Papadopoulos; Jennifer Prior; Charlotte Prior 
1998	7.833806038	Comedy	The Big Lebowski 	Jeff Bridges; John Goodman; Steve Buscemi; Julianne Moore; David Huddleston; Philip Seymour Hoffman; Tara Reid; Mark Pellegrino; Peter Stormare; Flea 
1976	7.582630157	Drama	Taxi Driver 	Robert De Niro; Cybill Shepherd; Harvey Keitel; Jodie Foster; Peter Boyle; Albert Brooks; Martin Scorsese 
1988	7.366529465	Action	Die Hard 	Bruce Willis; Alan Rickman; Reginald VelJohnson; Bonnie Bedelia; Paul Gleason; William Atherton; Hart Bochner; Dennis Hayden; James Shigeta; Robert Davi 
2006	7.575998783	Action	The Departed 	Leonardo DiCaprio; Jack Nicholson; Mark Wahlberg; Matt Damon; Ray Winstone; Anthony Anderson; Alec Baldwin; David O'Hara; Vera Farmiga; Kevin Corrigan 
2007	7.109071732	Action	Blades of Glory 	Will Ferrell; Jon Heder; Will Arnett; Jenna Fischer; Amy Poehler; William Fichtner; Nick Swardson; Romany Malco; Andy Richter; Nick Jameson 
2007	7.41149807	Action	Ocean's Thirteen 	George Clooney; Brad Pitt; Matt Damon; Al Pacino; Bernie Mac; Andy Garcia; Casey Affleck; Scott Caan; Carl Reiner; Don Cheadle 
