source	time	person	location	organization	miscellaneous
esquire	2014-09-26T09:00:00	stuart|michael brown|crawford|carol dimaiti stuart|wilson|charles|john crawford iii|darren wilson	missouri|tobin bridge|boston|ferguson|ohio|connecticut|utah|newtown|levant|bastogne|south carolina	red army|ohio walmart|national rifle association	germans|stalin|powell doctrine|japanese
esquire	2014-09-24T13:45:00	bashar assad	reyhanli|mcclatchy|middle east	khorasan|free syrian army|nusra front|khorasan group|islamic state|cnn	nusra|syrians|turkish
esquire	2014-09-23T14:45:00	professor warren|martha coakley	new hampshire	new hampshire gop|u.s. senate	mcdreamy|blunt amendment
esquire	2014-09-23T14:15:00	john h. richardson|john f. kennedy|ngo dinh diem	south vietnam	national intelligence estimates|my esky|cia|john|viet cong	indochinese|south vietnamese|vietnamese|communists
esquire	2014-09-23T13:00:00	bishop cupich|francis|john paul	washington state|chicago	red beanie|action|papa francesco|catholic church	catholic
esquire	2014-09-23T11:45:00	peter bergen	pakistan|syria	khorasan group|getty images this|isil|cnn	british|islamic|western|qaeda-affiliated
esquire	2014-09-23T10:15:00	gary bauer|rush limbaugh|mike pence|murdoch !	indiana	house of representatives|wall street journal|republican study group	american values
esquire	2014-09-22T15:30:00	buster douglas|alec mcgillis|leroy gingrich|evander holyfield|worley|david worley	atlanta	dccc|democratic national committee|national sports daily|democratic congressional campaign committee|omni hotel	african american
esquire	2014-09-22T14:00:00	joe lieberman|dozier|interchangeable kagan|joe|bob schieffer|jane harman	kagan|holland|levant	our national dialogue|weepin	naharvali
esquire	2014-09-19T18:35:00	schultz|sarah spirit|robert schultz|wayne lapierre|james foley|don spirit	marquette	gilchrist county|about the blog|permanent musical accompaniment to the last post of the week from the blog|supreme court	canadian
esquire	2014-09-19T12:35:00	little bighorn|joseph|chief joseph	idaho|oregon|montana|wyoming	war chief|getty images|u.s. army|nez perce indians	army|native americans
esquire	2014-09-19T11:15:00	ted cruz|bernie sanders|edward markey|jeanne shaheen|hillary clinton|joe manchin|mark begich|john mccain|jeff sessions	alaska|nice|levant|iraq|new hampshire	spw|senator professor|senator professor warren|otb	times
esquire	2014-09-19T10:20:00	burke|notre dame|frank flinn|pope francis|sandro magister|magister|papa francesco|flinn|rick majerus|majerus|john kerry	wisconsin|vatican|washington university|lacrosse	sovereign military order of malta|st. louis university	catholic
esquire	2014-09-18T13:15:00	george bivens|frein|jesus	europe|pennsylvania|pocono mountains	jeep cherokee	cold war-era
esquire	2014-09-18T10:55:00	mitt romney|hill|hillary clinton|professor warren|jeb bush	wall street|iraq	keystone xl|big blue meanie	dems in disarray !
esquire	2014-09-18T10:30:00	george effing will|ken burns|fox news|barack obama|elizabeth hasselbeck	panama|hungary|clan roosevelt|grenada|vietnam|romania|levant|korea|balkans|bulgaria	islamic state	world war ii|hitlers|reagan|poppy bush
esquire	2014-09-17T16:25:00	rhonda|ian paisley|paisley|bob jones|ronald reagan	greenville|ireland|babylon|south carolina	irish embassy|class reunion|optional musical accompaniment to this post|bob jones university	anti-catholic|christian|christianist|papists
esquire	2014-09-17T12:02:00	carter|jimmy carter|ted koppel|gerald ford|henry kissinger|neville chamberlain|chuck norris	iran	shah	british|iranian|nazis
esquire	2014-09-16T11:55:00	rice|greg gutfeld|watergate|nixon|ben stein	benghazi	o'reilly factor|fox news	five Î¾|media matters
esquire	2014-09-16T10:30:00	george effing will|theodore roosevelt|roosevelt|ken burns|glenn beck|ken|burns|wilentz|new deal	iowa|congress recently	pbs|brownsville incident|texas republican	roosevelts|progressive
esquire	2014-09-15T16:15:00	david haines|james foley|aqua buddha|steven sotloff	levant|iraq	optional video accompaniment to this post|isis|five minute rule|isil	british
esquire	2014-09-15T13:05:00	bernie sanders|chuck todd|bob|chuck|david gergen|james baker|medicaid|sanders|denis mcdonough|bob schieffer|medicare|danny ocean|baker|john kerry	an exhibition|iraq	senator huckleberry j. butchmeup|our national dialogue|clinton guy shocked by blowjobs|cbs|citizens united|both sides|tenth legion|social security|overlook hotel|supreme court	koch|great heist of 2000
esquire	2014-09-15T10:15:00	bishop sheen|sheen|sonny liston|walter johnson|daniel r. jenky|xavier|francis xavier|fulton j. sheen	rome|goa|peoria|india|new york city|new york|italy|siena	patrick 's cathedral|church|diocese of peoria|dolan the burial thief|dolan	spanish|roman catholic church
esquire	2014-09-12T13:25:00	trey gowdy|woodrow|herschel walker	benghazi|union|texas|bundy ranch|upper michigan	great climate change hoax|texas legislature|crazy is where the discussion begins|texas republican party|republican party|reaffirm texas sovereignty|sharia law|amendment right	ndaa|cafe|brazos
esquire	2014-09-11T14:00:00	ted cruz|tom rogan|cruz|george will|michael luttig|alan dershowitz|david von drehle|robert george|william rehnquist|after harvard	texas|r.	harvard law school|u.s. chief justice|time magazine	ninth
esquire	2014-09-11T10:40:00	edmund burke|nixon	missouri	permanent musical accompaniment to this post|getty images|public policy polling	capitol
esquire	2014-09-11T09:15:00	rachel maddow	syria|iraq	isis|getty images|my administration	arab|iraqis
esquire	2014-09-10T16:00:00	allende|augusto pinochet|rene schneider|todd zwillich|john hockenberry|henry kissinger|salvador allende|kissinger	chile	optional musical accompaniment to this post	chilean
esquire	2014-09-10T14:00:00	john ashcroft	lake superior|china	gas 'n sip|baltimore orioles	north american
esquire	2014-09-09T15:55:00	louie gohmert|padishah emperor|wolf|phil gingrey|noes|hal rogers	georgia|central america	barda|house appropriations committee|centers for disease control and prevention|biological advanced research and development authority|house of representatives|all crazy people	ebola
esquire	2014-09-09T14:30:00	thiessen|stephen lynch|marc thiessen|jones|c-plus augustus|walter jones|augustus|lynch|weigel	iraq|north carolina	obama administration|bush administration|al qaeda|massachusetts democrat|avignon presidency	saudis|hitlers|saudi
esquire	2014-09-09T12:15:00	mcdreamy|edward markey|martha coakley|charlie baker|lessig|mayday pac|deval patrick|lawrence lessig|baker	merrimack river|new hampshire	commonwealth|legend in his own mind|republican governors association|senator|not all indicted yet	anti-coakley
esquire	2014-09-09T11:15:00	don siegelman|ray rice|rice|olbermann|fuller|roger goodell|kelli fuller|mark fuller	stockholm|baltimore|south|atlantic city|alabama|atlanta	national football league	nfl|revel|ravens
esquire	2014-09-08T17:45:00	mccutcheon|tom udall|mitch mcconnell	koch|montana|new mexico	citizens united|tiger beat on the potomac|koch brothers|supreme court	constitution
esquire	2014-09-08T14:45:00	amy davidson|bob wills|chuck todd|chuck|david gregory|andrea mitchell|dylan byers	ptomaine	our national dialogue|washington post|new yorker|tiger beat on the potomac|overlook hotel|house of saud	house cup|russertian
esquire	2014-09-05T15:57:00	webb|reagan|Î¾ apparently|gary webb|ronald reagan	washington d.c.|central america	founding fathers|san jose mercury-news|jurassic turnpike|los angeles times|cia|permanent musical accompaniment to the last post of the week from the blog	canadian
esquire	2014-09-05T12:05:00	graham|augustus|john mccain|peter beinart|beinart	levant|syria|middle east	el mystico|the underpants gnome|huckleberry j. butchmeup|excellent mesopotamian adventure|janet	hitlers|english
esquire	2014-09-04T17:10:00	carl barbier|barbier	mexico|gulf|louisiana|virginia	bp|transocean ltd.|who you poison or kill|british petroleum|bp cares|mcdonnells|halliburton energy service	houston-based|christ|english
esquire	2014-09-04T16:15:00	mcdonnell|mr. mcdonnell|bob mcdonnell|johnnie williams	tampa|massachusetts	eastern district of virginia|that someone	mcdonnells
esquire	2014-09-04T12:15:00	rick green|hays	florida|st. matthew|atlantic	lovely wonkette|permanent musical accompaniment to this post|xaverian brothers|gospel according	magi
esquire	2014-09-03T15:00:00	marco rubio|walker|christie	earl k. long medical center	baton rouge|baton rouge general	goodhair bandwagon
esquire	2014-09-03T14:20:00	alzheimer|casa sol	blogistan|costa rica|escaz’_	patients beyond borders	san jos’©|costa rican|costa ricans
esquire	2014-09-03T12:50:00	senor love daddy|jesus|assad|dana milbank|ron fournier	russia|ukraine|cafe|iraq|syria	optional video accompaniment to this post|pew|bashar|national journal|islamic state|pew research center	iowa state fair
esquire	2014-09-02T14:55:00	hochul|cuomo|eric holder|kathy hochul|zephyr teachout|tim wu|teachout|andrew cuomo|warner cable|darrell issa|wu	texas|new york	new york state|time warner|comcast|time warner cable|fast and furious|new york times|blue dog	martian
esquire	2014-09-02T14:15:00	peter the great|chuck schumer|hillary clinton|schumer|lazio|rick lazio|vladimir putin|paul waldman|ahmed	shabaab|wales|somalia|new york|massachusetts|fair|tallinn	the fair|reuters|u.s. department of defense|state fair|nato	somali|estonians|gianelli
esquire	2014-09-01T12:05:00	joe williams|white city	lincoln park|oklahoma city|shrewsbury|destiny usa|florida|worcester|syracuse|wedgewood park|lake quinsigamond	ptc carousel|friedman of the plains|optional musical accompaniment to this post|getty images|philadelphia toboggan coasters company carousel|no.|the philadelphia|cheesecake factory	labor day
esquire	2014-09-01T09:30:00	chuck todd|dick cheney|john f. kennedy|brian ross|chuck|woof|bert kaempfaefert|david cameron|mrs. greenspan|tony blair|john kennedy|martha raddatz|tim russert|scooter libby|william pitt|thomas jefferson|clinton guy	minneapolis|greenspan|kansas	our national dialogue|clinton guy shocked by blowjobs|meet the press|philadelphia aurora|press|nbc|undead|mtp|overlook hotel|sea of banality	big chair|british|second congressional district|night
esquire	2014-08-29T18:15:00	lee keegan|mike kennedy|keegan|p.j. mcintyre|mayo|michael cusack|kerry	croke park|crocaigh|limerick|utah|pairc|all ireland|cleveland	central florida|national institutes of health|gaelic athletic association|underdog kerry|[ legislative|permanent musical accompaniment to the last post of the week from the blog	canadian|affordable care act|eastern|denkingerian
esquire	2014-08-29T17:05:00	siddiqui|bowe bergdahl|muhammad|khalid sheikh muhammad|james foley|aafia siddiqui	pakistan|afghanistan|brandeis|texas|mit|middle east	lady al-qaeda|pants wetting brigade|isis	pakistani
esquire	2014-08-29T11:55:00	joseph|jesus|cameron|michael j. fox|kirk|kirk cameron|bob lind	bethlehem|new dylan|judea|mary	the reason for the season|the war on christmas|marx brothers|miller high life|roman|family ties	romans|christians|saving christmas|christianists|bible-banging
esquire	2014-08-29T10:45:00	gampy mitt|mitt romney|willard|willard romney	iowa|pacific ocean|bain|tiffany	offshore and hedgefund	internet
esquire	2014-08-29T08:30:00	james foley|john yoo	isis|raqqah|syria	national security	warrior|islamic state
esquire	2014-08-28T16:31:00	tom corbett|corbett|willard romney	columbia|obamacare|pennsylvania	commonwealth|commonwealth of fracksylvania|free money	medicaid
esquire	2014-08-28T11:05:00	michele bachmann|bachmann|thomas more|robert bolt|paul|kent|mitch mcconnell|kent sorenson|sorenson|ron paul	iowa|ioway|milo|finland|kentucky	republican national committee|ames straw poll|girl with the faraway eyes|g.i. luvmoney|crazy uncle liberty|permanent musical accompaniment to this post|ron fking paul	honduran
esquire	2014-08-27T12:05:00	abu shuaib|foley|jesus|john mccain|douglas mcarthur mccain|james foley|sayid	oklahoma city|canada|helsinki|finland|syria|middle east	isis web|pants-wetting alert|isis|cnn	finnish|new yorker|intertoobz|somali|qataris|atlantic|jannah
esquire	2014-08-27T11:25:00	brawley|dowd|mike mcalary|maureen dowd|mike|maureen|rupert murdoch|john edwards|j. edgar hoover|michael brown|tom hanks|frank watkins|jesse jackson|bobby kennedy|nora ephron|sharpton|tawana brawley|al sharpton|martin luther king|mcalary|whispering smith|malcolm x|bill deblasio|clever|runyon	ferguson|new york|massachusetts	crown heights|nypd|silent sam pierce|party of lincoln|msnbc	garner|african american|matthews|english
esquire	2014-08-27T09:45:00	harry reid|allen|ron jeremy|koch|david koch|charles koch|mitch|mike allen|mitch mcconnell|daniel lipman	nevada	citizens united|hbo|tiger beat on the potomac|meat puppet|environmental protection agency|charles|payola|minority leader|all star|kochs|mitchell brothers|msnbc	squint
esquire	2014-08-26T16:45:00	labor day|thom tillis|hagan|kay hagan	north carolina	republican national committee	hill
esquire	2014-08-26T12:35:00	holder|eric holder|bill o'reilly	new orleans|danziger bridge|hurricane katrina	u.s. attorney	african americans|internet
esquire	2014-08-26T11:15:00	blackstone|third point|grady|chris christie comeback|elliott associates|wilshire associates|chris christie|christie|omega advisors	griftylvania|manhattan|wall street|new jersey	big chicken|the carlyle group|social security	dutch
esquire	2014-08-25T15:30:00	chris cline|donald trump|seitz|sheldon adelson|david koch|bob seitz|walker|scott walker	wisconsin|arizona|gogebic	wisconsin club|gogebic taconite llc|koch industries|club|wisconsin club for growth|charles|bulletproof securities|growth|wcfg	state of the state address
esquire	2014-08-25T12:15:00	vince foster|joe scarborough|hillary clinton|rush limbaugh|matt drudge|josh gerstein|mena airport	fort marcy park|templars|arkansas	history|bernstein|tiger beat|most awesome man on television	clintons|internet
esquire	2014-08-25T11:30:00	mohammed atta|maureen dowd|martin longman|cicero|maureen|rogers|john galt|richard reid|dude|chris jansing|laura ingraham|john mccain|tim mcveigh|jansing|mike rogers|rand paul	europe|britain	our national dialogue|tale of the priest and his workman balda and his clawhammer and belt sander|dancin ' master	fear
esquire	2014-08-22T17:15:00	ol' fritz|mohammad atta|mo udall|fritz|red skelton|fritz mondale|walter mondale	dinkytown|prague|middle east	uncle tom|isis|archey road|university of minnesota|permanent musical accompaniment to the last post of the week from the blog	canadian|earth day
esquire	2014-08-22T12:30:00	george washington|olympia dukakis|michelle macdonald|macdonald|david lillehaug	mount vernon library|minnesota|rochester|dakota county	minnesota michelle|dui	bible
esquire	2014-08-22T12:15:00	hobgood|thomas hobgood|mrs. lincoln|james madison	north carolina	general assembly|how was the play|other than that	leandro
esquire	2014-08-21T10:05:00	finley peter dunne	hogan|bridgeport	twas	bool-gahrians
esquire	2014-08-20T17:15:00	john roberts|mark herring|ken cuccinelli	utah|virginia	nine wise souls|supreme court	democratic attorney general
esquire	2014-08-20T14:55:00	ray|norm stamper|stamper|kelly	missouri|ferguson|seattle|zuccotti park	stop and frisk|world trade organization|bbc	occupy
esquire	2014-08-20T12:35:00	marwan porter	st. louis county|ferguson|st. louis	riverfront times	aaten-white
esquire	2014-08-20T12:05:00	empire news|national report	facebook	"daily currant|onion , clickhole and empire news|the post|clickhole|stupid cafe|onion|news nerd"	satire
esquire	2014-08-20T11:55:00	ferguson|dylan byers|mcdonald|byers|reid wilson|brian fallon|scarborough|fallon|joe scarborough|allen|jake tapper|lowery|reilly|james foley|ryan reilly|dan balz|wesley lowery|charles c. johnson	missouri|mississippi	department of justice|the hotline|isis|tiger beat on the potomac|mike|cnn|starbucks|msnbc|doj	north korean|twitter|post
esquire	2014-08-19T17:25:00	sosa|hernandez|steve king|hector hernandez	san pedro sula|honduras	los angeles times	honduran
esquire	2014-08-19T17:05:00	michael brown|wills|matt wills	missouri	breitbart news|breitbart 's mausoleum of unemployables	african american
esquire	2014-08-19T16:30:00	nathan bedford dumbshit|ron johnson|chris hayes|nixon|johnson|jay nixon	missouri|ferguson|bastogne	getty images state police captain|national guard	missourians|panther
esquire	2014-08-18T12:35:00	moses teah	west africa|west point	moore|world health organization|getty images holy	liberian|ebola
esquire	2014-08-18T09:00:00	peggy cass|chuck todd|chuck|louis armstrong|andrea mitchell greenspan|crash davis|jay nixon	missouri|ferguson	our national dialogue|nbc|amg|optional musical accompaniment to this post|dancin ' master	potato head cheese
esquire	2014-08-08T17:45:00	eamon o cuiv|john bruton	ireland|easter week|london|valera	eamon|home rule act|rising|irb|irish home rule bill|irish citizen army|sinn f’©in|home rule|easter rising|the motherland|permanent musical accompaniment to the last post of the week from the blog	republic|ira|british|canadian|irish
esquire	2014-08-06T14:00:00	balz|dan balz|andy beyer	west virginia|montana|south dakota|normandy	post|gop	monkey cage|democratic-incumbent
esquire	2014-08-06T11:55:00	stephen colbert|jerry lee lewis|senor senor|campbell brown|ferriday|peter singer|michelle|dan senor	b.a.|czechoslovakia|louisiana|denver|baghdad|kerry	big grift|regis university|rhee|avignon presidency	english
esquire	2014-08-05T14:00:00	steve king|aqua buddha|buddha	iowa|erie canal|christamighty|council bluffs|israel	internal improvements|soleil|crazy uncle liberty|five minute rule|blog|cirque|civil rights act	paul|dream
esquire	2014-08-05T13:15:00	ralph reed|digby|ed gillespie|jesus|jack abramoff	virginia|alabama|massachusetts	alabama republicans|optional video accompaniment to this post|republican state leadership committee|alabama republican party|chateau petrus|rslc|move america forward|u.s. senate	tea party-linked|indian|politico
esquire	2014-08-05T12:30:00	j. christ|jesus|toothaker	omaha|christ	veterans administration	facebook|rain
esquire	2014-08-05T09:30:00	brooks|laura ingraham|mo brooks	ritz|alabama	the huffington post	al.com
esquire	2014-08-04T09:45:00	paul ryan|bill clinton|ronald reagan	lake erie	great climate change hoax	clean water act|canadian|earth day
esquire	2014-08-04T09:33:00	both sides|richard nixon|hopeless hack|yuval levin|poor jud	new york|hammerstein|middle east	whistling past the graveyard|our national dialogue|rodgers|new york times|reform conservative|train v. city|supreme court	bold
esquire	2014-08-01T18:14:00	scott hatteberg|yoenis cespedes|mark mulder|billy beane|barry zito|jon lester|aaron sorkin|tim hudson	england|pairc|galway|sam	keystone xl|permanent musical accompaniment for the last post of the week from the blog	kingdom|canadian
esquire	2014-08-01T17:25:00	martha	pennsylvania|southeast asia|cambodia	pentagon|photo illustration|politics blog there|flickr / special	cambodian
esquire	2014-08-01T12:05:00	ed markey|joe moakley|larouche|lynch|lyndon larouche|lyndon fking larouche|steve lynch|john kerry	great britain|venice|south boston|iraq|britain|saudi arabia	commonwealth|jones|affordable care act	british
esquire	2014-08-01T11:00:00	travis|travis childers|jesus god|childers	mississippi	the manchin parlay|the worst idea	american politics
esquire	2014-07-30T15:45:00	willie parker|v. wade	jackson|texas|mississippi	pink house|maisie crow last|fifth circuit|jackson women Îês health organization	circuit
esquire	2014-07-30T15:30:00	david wasserman|hice|paul|jody hice|whitney|lenar whitney|kevin mccarthy	louisiana|georgia	lies from the pit of hell|environmental protection agency|invasion of the body snatchers	house republican
esquire	2014-07-30T10:15:00	chris hayes|kerry|bernadette meehan|netanyahu|benjamin netanyahu	gaza|qatar|turkey|israel	national security council spokesperson|hamas	israeli
esquire	2014-07-30T09:30:00	bill walton|fuzzy vandivier|wonder five|lewis alcindor|richard m. nixon|jamie moore|si gibbs|walt hazzard|pauley|h.r. haldeman|gail goodrich|john wooden	indiana|ucla|centerton|earth|pauley pavilion	los angeles city fire department|the money pit|the greatest country|house judiciary committee|franklin high school|sunset boulevard	bruin
esquire	2014-07-29T18:15:00	angela merkel	europe|russia|ukraine|moscow|malaysia	eu|european union	european|german|pro-russian|west
esquire	2014-07-29T09:40:00	walter leuchtenberg|ernst|steve m|joni ernst	iowa	missionary ridge|affordable care act|free money|tenth amendment	kenyan
esquire	2014-07-28T10:30:00	mario kart|henry mancini|jonah goldberg|henry adams|nate silver|tyson|star trek|neil degrasse tyson	portlandia|zuccotti park|hephaestus	our national dialogue|the sunday showz|moon rivets|national review|tv|star wars|bill fcking nye|sub left	house cup
esquire	2014-07-28T10:00:00	samaritan|melissa strickland|writebol|kent brantly|purse|nancy writebol|samaritan purse|brantly|ken isaacs	gaza|monrovia|liberia	getty images now|sim|ebola	malaysian|north carolina-based
esquire	2014-07-28T09:00:00	cameron todd|todd|joni mitchell	alberta|book cliffs mountains|utah|texas|salt lake city	keystone xl|u.s. oil sands	ute|north
esquire	2014-07-25T15:15:00	paul|king	cincinnati	doc maddow|the southern avenger|civil rights|voting rights act|bill of rights|civil rights act|senator aqua buddha	urban league
esquire	2014-07-25T10:05:00	oliver goldsmith	british empire|ireland|mousehold|united kingdom	inclosure laws|the deserted village|inclosure|the midland revolt|commons|inclosure acts|the inclosure acts	british|industrial revolution
esquire	2014-07-24T10:30:00	russert gambit|christi|john roberts|gerstein|paul s. ryan|ken vogel|martin o'malley|mccutcheon|earnest|dylan byers|d.c. schultz|prestone|christi parsons|schultz|samuel alito|fred wertheimer|b. belichick|foxborough	maryland|west coast|san francisco	pac|citizens united|tiger beat on the potomac|white house correspondents ' association|costco ceo jim sinegal|supreme court|state of the union|house majority pac|campaign legal center|four seasons|route|disclose act|the washington post	millionnaire
esquire	2014-07-23T12:35:00	j. davis|ed klein|halper|murdoch|gene lyons	little rock|arkansas	red sox|mr. halper|weekly standard	potomac
esquire	2014-07-23T10:05:00	perdue|jimmy carter|michelle nunn|sonny perdue|sam nunn|are rich|kingston|are smart|jack kingston|david perdue	georgia	war of the roses|man of the people|new democrat|chamber of commerce|dollar general|chamber	base
esquire	2014-07-21T14:30:00	mary fallin|mary	oklahoma	dust bowl|by-god oklahomans|homestead act|u.s. army	oklahomans|republican national convention
esquire	2014-07-21T11:15:00	nina taylor|professor warren|william barber|joe be biden|your brand|mike illitch|moulitsas|markos moulitsas|cobo hall	ohio|arizona|detroit	detroit metro times|daily kos|netroots nation|keystone xl|netroots	earth day
esquire	2014-07-21T10:00:00	jim|jack nicklaus|garner|jim rockford|paddy chayefsky|julie andrews|brett|nelson mandela|james garner|brett maverick|jack lemmon|tom watson|lemmon	london|maverick	getty images|tv|the americanization of emily|the great escape|tv western	western
esquire	2014-07-21T08:30:00	dick cheney|lindsay graham|carrion mia|mantovani	israel	our national dialogue|fox news|most unlikable sociopath pageant|lowry|sparkle pants	israeli|palestinian|the dancin ' master
esquire	2014-07-18T16:14:00	william barber|barber	north carolina	detroit|permanent musical accompaniment to the last post of the week by the blog	canadian
esquire	2014-07-18T11:55:00	elizabeth warren|charlie pierce|joe biden	harvard law	netroots nation	senator professor
esquire	2014-07-17T14:15:00	anton gerashchenko|gerashchenko|john mccain	donetsk|buk|amsterdam|kuala lumpur	malaysia airlines|boeing	pro-russian|ukrainian
esquire	2014-07-17T12:45:00	richard blumenthal|hillary clinton|martin o'malley|professor warren|o'malley|blumenthal|joe biden	esquire|connecticut	hobby lobby|official political bff|netroots nation|detroit	cpac
esquire	2014-07-17T11:15:00	john boehner|aaron mccready|kingston|jack kingston	georgia|atlanta	silly party	internet-based
esquire	2014-07-16T16:00:00	marshall applewhite|sam brownback|brownback|paul davis|rude one|rick santorum|sam	kansas|cuba	the new york times|kansas republicans|council of trent|the rude one|u.s. senate|the laffer curve	american revolution|hale-bopp
esquire	2014-07-16T11:30:00	kelly ayotte|ayotte|deb fischer|jesus	walgreen|nebraska	hobby lobby|kaiser family foundation|the metternich of manchester|optional musical accompaniment for this post|u.s. department of health and human services|food and drug administration|wall street journal|supreme court	obamacare
esquire	2014-07-16T09:30:00	gingrey|paul broun|phil gingrey|ebola	west africa|sierra leone|africa	llc|centers for disease control|two docs and a crock|ghw bush enterprises|little brown ones	georgia-based
esquire	2014-07-15T16:50:00	richard blumenthal|todd akin|kermit gosnell|john mccain|blumenthal|gosnell|chris stirewalt	pennsylvania|philadelphia	hobby lobby|senate judiciary committee|new york times	senate democrats|casey
esquire	2014-07-15T12:40:00	glenn beck|glenn|breitbart	pakistan|somalia|afghanistan	blaze in my pants|border patrol|mausoleum for the unemployable	mexicans|mexican
esquire	2014-07-15T12:20:00	terry branstad|christian|paul|rand paul|ron paul	iowa|vanuatu|kentucky|des moines	crazy uncle liberty|milvian bridge|gop|iron age|iowa straw poll|iowa republican|senator aqua buddha	indian
esquire	2014-07-15T09:55:00	jayson blair|j.p. morgan|liz cheney|dick|mike|ernie pyle|stephen glass|mike allen|manson family|barack obama|lynne	kannapolis|singapore	allen|tbotp|tiger beat on the potomac|brady bunch|payola|politico|bank of america	treponema
esquire	2014-07-14T16:15:00	marco rubio|rick scott|grunwald|richard clarke|alton road|michael grunwald	kiribati|whole foods|miami|pacific|middle east	dong|great climate change hoax|the new york times|walgreens|time magazine	guardian
esquire	2014-07-14T11:40:00	john kasich|turner|nina turner|the young|kasich|lehman brothers|scott walker	wisconsin|ohio|cleveland	fitzgerald|fox news	affordable care act|republican national convention|rick scott-tom corbett|medicaid
