CardId	Year	Conference	Title	Evidence	Author Names
PMC1181826	2005	increases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	 SCLCL does not overexpress P-gp 1	SCLCL;P-gp 1
PMC1181826	2005	decreases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	 CCI-779 at 1 ug and ml ( 1 uM ) can only decrease the ID50 of doxorubicin by 4.5 fold whereas rapamycin at 1 uM can decrease the ID50 of daunorubicin by 10 fold     .	CCI-779;doxorubicin
PMC1181826	2005	increases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	 cisplatin resistant cell lines also overexpress elongation factor alpha	cisplatin;alpha
PMC1242125	2005	increases_activity	Differential responses to doxorubicin-induced phosphorylation and activation of Akt in human breast cancer cells	 MCF7 cells stimulated for 15 min with 10 nM type 1 insulin like growth factor ( IGF-1 ) were used as a positive control .	IGF-1;insulin-like growth factor
PMC1181826	2005	increases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	 CCI-779 can block P-gp and MRP1 efflux pump and consequently increased doxorubicin	CCI-779;doxorubicin
PMC1181826	2005	decreases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	 CCI-779 can only partially reverse P-gp1	CCI-779;P-gp1
PMC117437	2002	decreases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	 ALK3Q233D-induced degradation of SNIP1	ALK3;SNIP1
PMC1236941	2005	increases_activity	Dual and pan-peroxisome proliferator-activated receptors (PPAR) co-agonism: the bezafibrate lessons	" PPAR alpha activation increase HDL cholesterol synthesis , stimulate "" reverse "" cholesterol transport and reduce triglycerides        ."	PPAR;cholesterol
PMC1240052	2005	decreases_activity	Oncogenic Transformation by Inhibitor-Sensitive and -Resistant EGFR Mutants	 EGFR inhibitors gefitinib	gefitinib;EGFR
PMC1181826	2005	decreases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	 CCI-779 at 0.03 ug/ml can completely reverse cisplatin	CCI-779;cisplatin
PMC1236941	2005	increases_activity	Dual and pan-peroxisome proliferator-activated receptors (PPAR) co-agonism: the bezafibrate lessons	 PPAR activator bezafibrate	bezafibrate;PPAR
PMC1240052	2005	decreases_activity	Oncogenic Transformation by Inhibitor-Sensitive and -Resistant EGFR Mutants	 gefitinib (unpublished data) did not inhibit anchorage-independent growth of EGF	gefitinib;EGF
PMC1064093	2005	decreases_activity	The p53-dependent apoptotic pathway of breast cancer cells (BC-M1) induced by the bis-type bioreductive compound aziridinylnaphthoquinone	 p53 protein increased from 0.5 to 1.0 muM AZ-1 and decreased at 2.0 muM AZ-1	p53;muM AZ-1
PMC1242125	2005	increases_activity	Differential responses to doxorubicin-induced phosphorylation and activation of Akt in human breast cancer cells	 HER2 in MCF7HER2 cells potentiates the response of the cells to doxorubicin-induced activation of Akt	HER2;Akt
PMC2118109	2006	increases_activity	PPARÎ_ controls CD1d expression by turning on retinoic acid synthesis in developing human dendritic cells	" Importantly, administration of retinoic acid receptor antagonist or RALDH inhibitor (4-diethyl amino-benzaldehyde) diminished the expression of transglutaminase2 and CD1d but not that of FABP4 ."	retinoic acid receptor;transglutaminase2 and CD1d
PMC1242125	2005	increases_activity	Differential responses to doxorubicin-induced phosphorylation and activation of Akt in human breast cancer cells	 doxorubicin-induced activation of Akt	doxorubicin;Akt
PMC1064093	2005	decreases_activity	The p53-dependent apoptotic pathway of breast cancer cells (BC-M1) induced by the bis-type bioreductive compound aziridinylnaphthoquinone	 p53 protein and then upregulation of the p21 protein to inhibit the cyclin	p53;cyclin
PMC116581	2002	decreases_activity	Negative regulation of mitochondrial VDAC channels by C-Raf kinase	 C-Raf and Bcl-2 could cooperate to directly block the VDAC	C-Raf;VDAC
PMC2330239	2008	decreases_activity	p160/SRC/NCoA coactivators form complexes via specific interaction of their PAS-B domain with the CID/AD1 domain	 AD1 fragment can also inhibit the recruitment of the NCoA-1	AD1;NCoA-1
PMC2118145	2006	decreases_activity	IL-23 stimulates epidermal hyperplasia via TNF and IL-20R2â€“dependent mechanisms with implications for psoriasis pathogenesis	" An IL-12p40 antagonist that blocks IL-23 and IL-12p70 simultaneously was successful in a phase I psoriasis clinical trial     , and IL-23p19 , but not IL-12p35 , gene expression was associated with human psoriasis     ."	IL-12p40;IL-23
PMC2279807	2008	increases_activity	A2 isoform of mammalian translation factor eEF1A displays increased tyrosine phosphorylation and ability to interact with different signalling molecules	 eEF1A2-dependent increase of Shp1 phosphatase	eEF1A2;Shp1 phosphatase
PMC1242125	2005	increases_activity	Differential responses to doxorubicin-induced phosphorylation and activation of Akt in human breast cancer cells	" forkhead transcription factor FKHRL-1, which regulates the expression of the apoptosis-inducing Fas ligand"	forkhead transcription factor FKHRL-1;Fas ligand
PMC1242125	2005	increases_activity	Differential responses to doxorubicin-induced phosphorylation and activation of Akt in human breast cancer cells	 Akt1 level induced by doxorubicin	doxorubicin;Akt1
PMC116581	2002	decreases_activity	Negative regulation of mitochondrial VDAC channels by C-Raf kinase	 C-Raf inhibits cytochrome c release and caspase	C-Raf;caspase
PMC1242125	2005	decreases_activity	Differential responses to doxorubicin-induced phosphorylation and activation of Akt in human breast cancer cells	" ICI 182,780 blocked estrogen-induced Akt activation in the ER-positive MCF7 cells but did not affect doxorubicin"	ICI;doxorubicin
PMC2118199	2006	increases_activity	Block of C/EBPÎ± function by phosphorylation in acute myeloid leukemia with FLT3 activating mutations	 FLT3 ITD mutant induces activation of ERK1	FLT3;ERK1
PMC1240052	2005	decreases_activity	Oncogenic Transformation by Inhibitor-Sensitive and -Resistant EGFR Mutants	 EGFR inhibitors erlotinib	erlotinib;EGFR
PMC1064093	2005	decreases_activity	The p53-dependent apoptotic pathway of breast cancer cells (BC-M1) induced by the bis-type bioreductive compound aziridinylnaphthoquinone	 p21 protein to inhibit the cyclin kinase cdk2	p21;cdk2
PMC116581	2002	decreases_activity	Negative regulation of mitochondrial VDAC channels by C-Raf kinase	 C-Raf inhibits cytochrome c	C-Raf;cytochrome c
PMC2118656	2007	decreases_activity	 mutations in leukemic cells mediate NOTCH pathway activation and resistance to Î_-secretase inhibitors	 MYC CPD that cannot promote MYC	MYC CPD;MYC
PMC116581	2002	increases_activity	Negative regulation of mitochondrial VDAC channels by C-Raf kinase	 Inhibition of VDAC channel activity by C-Raf was specific since GST-C-RafDD did not alter the properties of Bcl-2 pores                                                                                      and the MAPK pathway activating Src family kinase Lck ( His-LckY505F kinase ) did not modify the VDAC channel conductance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              as well as feedback phosphorylation ( multiple S and T phosphorylation sites )     .	MAPK;Src
PMC2330239	2008	decreases_activity	p160/SRC/NCoA coactivators form complexes via specific interaction of their PAS-B domain with the CID/AD1 domain	 CID/AD1 fragment can also inhibit the recruitment of the NCoA-1	CID;NCoA-1
PMC2118199	2006	increases_activity	Block of C/EBPÎ± function by phosphorylation in acute myeloid leukemia with FLT3 activating mutations	" In contrast , the MEK1 inhibitor decreased pS21-C and EBPalpha levels in as early as 9 h            and relieved differentiation block of MV4 ; 11 cells           ."	MEK1;EBPalpha
PMC2118145	2006	decreases_activity	IL-23 stimulates epidermal hyperplasia via TNF and IL-20R2â€“dependent mechanisms with implications for psoriasis pathogenesis	" An IL-12p40 antagonist that blocks IL-23 and IL-12p70 simultaneously was successful in a phase I psoriasis clinical trial     , and IL-23p19 , but not IL-12p35 , gene expression was associated with human psoriasis     ."	IL-12p40;IL-12p70
PMC2118199	2006	decreases_activity	Block of C/EBPÎ± function by phosphorylation in acute myeloid leukemia with FLT3 activating mutations	 Inhibition of MEK1 activity decreases phosphorylation of C and EBPalpha and induces granulocytic differentiation of MV4 ; 11 cells	MEK1;MV4
PMC2118199	2006	increases_activity	Block of C/EBPÎ± function by phosphorylation in acute myeloid leukemia with FLT3 activating mutations	" In contrast , the MEK1 inhibitor decreased pS21-C and EBPalpha levels in as early as 9 h            and relieved differentiation block of MV4 ; 11 cells           ."	MEK1;pS21-C
PMC2364215	2002	increases_activity	Integrin Î±vÎ_6-associated ERK2 mediates MMP-9 secretion in colon cancer cells	 ERK signalling in hepatocyte growth factor-	ERK;hepatocyte growth factor-
PMC1181826	2005	decreases_activity	Overcoming cisplatin resistance by mTOR inhibitor in lung cancer	" In this report , we have found that mTOR inhibitor ( CCI-779 ) is able to restore cisplatin sensitivity ."	mTOR;cisplatin
PMC117437	2002	increases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	 SNIP1 on the BMP-induced activation of the Tlx2	SNIP1;Tlx2
PMC2120994	1996	decreases_activity	Is plasminogen activator inhibitor-1 the molecular switch that governs urokinase receptor-mediated cell adhesion and release?	" Finally , we show that uPA can rapidly reverse this effect of PAI-1 ."	uPA;PAI-1
PMC2120929	1996	decreases_activity	The intracellular functions of alpha6beta4 integrin are regulated by EGF	 EGF can partially suppress the recruitment of Shc	EGF;Shc
PMC2442316	2008	increases_activity	A Role for the Cleaved Cytoplasmic Domain of E-cadherin in the Nucleus	 E-cad/CTF2 modulates Kaiso	E-cad/CTF2;Kaiso
PMC117437	2002	decreases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	 Increased expression of SNIP1 inhibits BMP induced activation of the Tlx-2 reporter gene .	SNIP1;Tlx-2
PMC2137917	2007	increases_activity	A novel pathway down-modulating T cell activation involves HPK-1â€“dependent recruitment of 14-3-3 proteins on SLP-76	" However, our findings that mutation of S376//376, a specific target of HPK-1 on SLP-76, abolished 14-3-3 binding and resulted in higher TCR-dependent IL-2 promoter induction demonstrate that 14-3-3 recruitment to SLP-76 is one of the main mechanisms by which HPK-1 negatively affects T cell activation."	TCR;IL-2
PMC1183491	2005	increases_activity	Group 13 HOX proteins interact with the MH2 domain of R-Smads and modulate Smad transcriptional activation functions independent of HOX DNA-binding capability	" PAI-1 promoter that has been shown to bind a TGF-beta1-inducible protein complex, including Smad3 and Smad4"	PAI-1;Smad4
PMC1401512	2006	increases_activity	Histone deacetylase 3 binds to and regulates the GCMa transcription factor	 ( B and C ) TSA stimulates GCMa mediated transcriptional activation .	TSA;GCMa
PMC1388210	2006	increases_activity	Interleukin-1Î± enhances the aggressive behavior of pancreatic cancer cells by regulating the Î±Î_-integrin and urokinase plasminogen activator receptor expression	" Based on these findings , we conclude that IL-1alpha can induce selective upregulation of alpha6beta1-integrin and uPA and uPAR in pancreatic cancer cells and these changes may modulate the aggressive functions of pancreatic cancer ."	IL-1alpha;uPA
PMC2132561	1997	decreases_activity	Tyrosine Residue in Exon 14 of the Cytoplasmic Domain of Platelet Endothelial Cell Adhesion Molecule-1 (PECAM-1/CD31) Regulates Ligand Binding Specificity 	 Both calcium- and calcium independent aggregation was blocked to nearly baseline levels by the anti-PECAM-1 antibody .	anti-PECAM-1 antibody;calcium
PMC117437	2002	increases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	 BMP-induced activation of the Tlx-2	BMP;Tlx-2
PMC2442316	2008	increases_activity	A Role for the Cleaved Cytoplasmic Domain of E-cadherin in the Nucleus	" C , E-Cad and CTF2 nuclear localization is increased by p120 , but not by other E-cadherin-binding proteins ."	p120;E-Cad/CTF2
PMC117437	2002	increases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	" BMPs trigger the translocation of Smad1, HsN3 and Az into the nucleus, where the novel CBP/p300 repressor protein SNIP1 is further recruited to Smad1/HsN3/Az complex and degraded in a Smad1-, Smad4-"	BMPs;Smad4-
PMC2364237	2002	increases_activity	Biological activity of the thyroid TRK-T3 oncogene requires signalling through Shc	 In a previous study we demonstrated that Shc is activated by TRK oncoproteins and therefore capable to recruit Grb2                       .	TRK;Shc
PMC1236941	2005	increases_activity	Dual and pan-peroxisome proliferator-activated receptors (PPAR) co-agonism: the bezafibrate lessons	" PPAR gamma is highly expressed in adipocytes , where it mediates differentiation , promotes lipid storage , and , as a consequence , is thought to indirectly improve insulin sensitivity and enhance glucose disposal in adipose tissue and skeletal muscle      ."	PPAR;glucose
PMC2118656	2007	decreases_activity	 mutations in leukemic cells mediate NOTCH pathway activation and resistance to Î_-secretase inhibitors	" Thus, TMPyP4 or other agents that inhibit MYC transcription may be useful in combination with \u03b3-secretase inhibitors to overcome resistance in patients harboring FBW7 mutations."	TMPyP4;MYC
PMC1388210	2006	increases_activity	Interleukin-1Î± enhances the aggressive behavior of pancreatic cancer cells by regulating the Î±Î_-integrin and urokinase plasminogen activator receptor expression	 interleukin (IL)-1alpha induces the alterations of integrin subunits and urokinase plasminogen activator/urokinase plasminogen activator receptor (uPA	interleukin;uPA
PMC2364237	2002	decreases_activity	Biological activity of the thyroid TRK-T3 oncogene requires signalling through Shc	 it reduces the RET	ShcY317F;RET
PMC1325201	2006	increases_activity	XRCC1 is phosphorylated by DNA-dependent protein kinase in response to DNA damage	" An aliquot of 1 microg of GST-p53 ( residues 11-25 ) substrate was mixed with different amounts of human XRCC1 ( 0.25-2 microg ) , in kinase buffer containing , 400 ng and ml of DNase I activated calf thymus DNA , 1 mM ATP and 20 U of DNA-PK ( Promega ) and incubated at 30degreesC for 10 min ."	GST-p53;ATP
PMC1401512	2006	decreases_activity	Histone deacetylase 3 binds to and regulates the GCMa transcription factor	" TSA), increases the level of acetylated GCMa and that HDAC1, 3, 4 and 5 interact with and deacetylate GCMa"	TSA;GCMa
PMC2553404	2008	increases_activity	Phosphorylation of p130Cas initiates Rac activation and membrane ruffling	" Our live cell microscopy studies ( additional files  ,  ,  ,  ,    are in agreement with these observations , since FIT mediated specific phosphorylation of p130Cas ( and subsequent activation of Rac1 ) stimulated the formation of membrane ruffles and lamellipodia ( like those exhibited by c-Src reconstituted cells ) in SYF cells , which are normally devoid of these structures ."	p130Cas;Rac1
PMC1401512	2006	increases_activity	Histone deacetylase 3 binds to and regulates the GCMa transcription factor	" As shown in          , the luciferase activity directed by p ( GBS ) 4E1bLUC was activated by GCMa ."	GCMa;luciferase
PMC2362047	2005	decreases_activity	Selective inhibition of TNF--induced activation of mitogen-activated protein kinases and metastatic activities by gefitinib	 integrin \u03b1v  were inhibited by GM6001	GM6001;integrin \u03b1v
PMC1410911	2006	increases_activity	Inhibition of poly (ADP-ribose) polymerase activates ATM which is required for subsequent homologous recombination repair	 doxycycline to induce expression of kinase dead dominant negative ATR	doxycycline;ATR
PMC2364215	2002	decreases_activity	Integrin Î±vÎ_6-associated ERK2 mediates MMP-9 secretion in colon cancer cells	 ERK2 binding site on beta6 reduced MMP-9	ERK2;MMP-9
PMC117437	2002	increases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	" blocked by the addition of the proteasome inhibitor lactacystin, indicating the proteasomal degradation of Smad1"	proteasome;Smad1
PMC117437	2002	increases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	" Smad1 at the carboxylterminal SSVS motif triggers the release of Smad1 from the receptor, the formation of homo-oligomers of Smad1 and hetero-oligomers of Smad1 and Smad4"	Smad1;Smad4
PMC1388210	2006	increases_activity	Interleukin-1Î± enhances the aggressive behavior of pancreatic cancer cells by regulating the Î±Î_-integrin and urokinase plasminogen activator receptor expression	" Based on these findings , we conclude that IL-1alpha can induce selective upregulation of alpha6beta1-integrin and uPA and uPAR in pancreatic cancer cells and these changes may modulate the aggressive functions of pancreatic cancer ."	IL-1alpha;uPAR
PMC1298925	2005	decreases_activity	Human  interacts with  and regulates the transcriptional activity of a novel DNA-binding complex	 hBex2 inhibits LMO2	hBex2;LMO2
PMC2133028	1998	increases_activity	Human CASK/LIN-2 Binds Syndecan-2 and Protein 4.1 and Localizes to the Basolateral Membrane of Epithelial Cells 	 bFGF signaling it	syndecan;bFGF
PMC2553404	2008	increases_activity	Phosphorylation of p130Cas initiates Rac activation and membrane ruffling	" In summary , our results strongly suggest that the phosphorylation of p130Cas alone is sufficient to initiate activation of Rac1 and actin reorganization including the formation of membrane ruffles and lamellipodial extensions ."	p130Cas;Rac1
PMC117437	2002	decreases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	 SNIP1 is a nuclear repressor of Smad1	SNIP1;Smad1
PMC117437	2002	decreases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	 B. Increased expression of Smad1 enhances SNIP1 degradation induced by BMP type I receptor activation .	Smad1;SNIP1
PMC1242125	2005	decreases_activity	Differential responses to doxorubicin-induced phosphorylation and activation of Akt in human breast cancer cells	" ER antagonist ICI 182,780 blocked estrogen-induced Akt activation in the ER-positive MCF7 cells but did not affect doxorubicin"	ER;doxorubicin
PMC139997	2002	increases_activity	Activation of the Syk tyrosine kinase is insufficient for downstream signal transduction in B lymphocytes	" A mutant form of Syk carrying a combination of a K395A substitution in the kinase domain and substitutions of three phenylalanines ( 3F ) for the three C-terminal tyrosines was expressed in a murine B cell lymphoma cell line , BCL1 .3 B3 to interfere with normal Syk regulation as a means to examine the Syk activation step in BCR signaling ."	step;Syk
PMC1401512	2006	decreases_activity	Histone deacetylase 3 binds to and regulates the GCMa transcription factor	" TSA), increases the level of acetylated GCMa"	TSA;GCMa
PMC2553404	2008	increases_activity	Phosphorylation of p130Cas initiates Rac activation and membrane ruffling	" In summary , our results strongly suggest that the phosphorylation of p130Cas alone is sufficient to initiate activation of Rac1 and actin reorganization including the formation of membrane ruffles and lamellipodial extensions ."	p130Cas;actin
PMC2139818	1997	increases_activity	"Regulation of Tenascin-C, a Vascular Smooth Muscle Cell  Survival Factor that Interacts with the Î±Î_ Integrin to Promote Epidermal Growth Factor Receptor Phosphorylation and Growth "	 collagen promotes TN-C	collagen;TN-C
PMC1240052	2005	decreases_activity	Oncogenic Transformation by Inhibitor-Sensitive and -Resistant EGFR Mutants	 erlotinib             or gefitinib (unpublished data) did not inhibit anchorage-independent growth of EGF	erlotinib;EGF
PMC117437	2002	increases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	 A cartoon to illustrate a novel mechanism for BMP induced proteasomal targeting of Smad1 induced by BMPs .	BMPs;Smad1
PMC1440772	2006	decreases_activity	Lead Increases Lipopolysaccharide-Induced Liver Injury through Tumor Necrosis Factor-Î± Overexpression by Monocytes/Macrophages: Role of Protein Kinase C and p42/44 Mitogen-Activated Protein Kinase	" Long-term exposure to Pb leads to PKC activation in rat livers ; however , Pb also inhibited the activity of PKCalpha in a human hepatoma cell line                                          , and the inhibition was much more pronounced when Pb levels were high                  ."	Pb;PKCalpha
PMC1183491	2005	decreases_activity	Group 13 HOX proteins interact with the MH2 domain of R-Smads and modulate Smad transcriptional activation functions independent of HOX DNA-binding capability	 HOX group 13 proteins could inhibit activation functions of the Smad3	HOX group 13 proteins;Smad3
PMC1388210	2006	increases_activity	Interleukin-1Î± enhances the aggressive behavior of pancreatic cancer cells by regulating the Î±Î_-integrin and urokinase plasminogen activator receptor expression	 interleukin (IL)-1alpha induces the alterations of integrin subunits and urokinase plasminogen activator/urokinase plasminogen activator receptor (uPA/uPAR	interleukin;uPAR
PMC2364215	2002	decreases_activity	Integrin Î±vÎ_6-associated ERK2 mediates MMP-9 secretion in colon cancer cells	 MEK inhibition and deletion of the ERK2	MEK;ERK2
PMC2364237	2002	increases_activity	Biological activity of the thyroid TRK-T3 oncogene requires signalling through Shc	 NGF-stimulated NTRK1	NGF;NTRK1
PMC1401512	2006	decreases_activity	Histone deacetylase 3 binds to and regulates the GCMa transcription factor	" trichostatin A (TSA), increases the level of acetylated GCMa and that HDAC1, 3, 4 and 5 interact with and deacetylate GCMa"	trichostatin A;GCMa
PMC1401512	2006	increases_activity	Histone deacetylase 3 binds to and regulates the GCMa transcription factor	" As shown in          , the luciferase activity directed by p ( pGBS ) 4E1bLUC was stimulated by GCMa , which could be enhanced by PKA or to a higher degree by a combination of PKA and CBP ."	PKA;GCMa
PMC1401512	2006	decreases_activity	Histone deacetylase 3 binds to and regulates the GCMa transcription factor	" HDAC inhibitor, trichostatin A (TSA), increases the level of acetylated GCMa and that HDAC1, 3, 4 and 5 interact with and deacetylate GCMa"	HDAC;GCMa
PMC2359939	2007	increases_activity	Non-genomic action of resveratrol on androgen and oestrogen receptors in prostate cancer: modulation of the phosphoinositide 3-kinase pathway	 ERalpha activation increased PI3K	ERalpha;PI3K
PMC2364215	2002	decreases_activity	Integrin Î±vÎ_6-associated ERK2 mediates MMP-9 secretion in colon cancer cells	 Inhibition of MAP kinase activity by the MEK-1	MEK-1;MAP
PMC117437	2002	increases_activity	A novel link between the proteasome pathway and the signal transduction pathway of the Bone Morphogenetic Proteins (BMPs)	" blocked by the addition of the proteasome inhibitor lactacystin, indicating the proteasomal degradation of Smad1"	lactacystin;Smad1
PMC1242143	2005	increases_activity	Phosphorylation of estrogen receptor Î± serine 167 is predictive of response to endocrine therapy and increases postrelapse survival in metastatic breast cancer	" Another study reported that , although estrogen induced PR expression in all breast cancer cell lines studied , the expression ratio of PRA and PRB induced by estrogen was dependent on the cell line , and that these results suggested that the PRA and PRB promoters were differentially regulated by estrogen in different breast cancer cells     ."	estrogen;PR
PMC1413977	2006	increases_activity	New role for nuclear hormone receptors and coactivators in regulation of BRCA1-mediated DNA repair in breast cancer cell lines	 ( a ) Estrogen receptor ( ER ) - positive human breast cancer cell lines ( MCF7 and T47D ) and ER negative lines ( MDA-MB-231 and MDA-MB-468 ) were treated with 17beta-estradiol ( E2 ) or all-trans retinoic acid ( RA ) alone or in combination ( E2 and RA ) prior to etoposide induced DNA damage .	Estrogen receptor;damage
PMC1310924	2005	increases_activity	Systemic Effects of Arctic Pollutants in Beluga Whales Indicated by CYP1A1 Expression	" Immunohistochemical analyses of mouse testes showed CYP1A1 in interstitial cells only , and this was reportedly not induced by benzo [ a ] pyrene                    ."	benzo[a]pyrene;CYP1A1
PMC1761701	2006	increases_activity	Restricted epithelial proliferation by lacritin via PKCÎ±-dependent NFAT and mTOR pathways	 Both also suppressed cyclooxygenase-2 expression .	Lacritin;COX2
PMC1298925	2005	increases_activity	Human  interacts with  and regulates the transcriptional activity of a novel DNA-binding complex	" Furthermore , hBex2 up-regulates transcriptional activity of LMO2 through protein protein interaction           ."	hBex2;LMO2
PMC1557814	2006	increases_activity	Characterization of RNA helicase A as component of STAT6-dependent enhanceosome	 Our results are consistent with a model where RNA helicase A functions in STAT6 transcriptosome as a chromatin remodelling factor.	RNA helicase A;NF-\u03baB p65
PMC2137917	2007	increases_activity	A novel pathway down-modulating T cell activation involves HPK-1â€“dependent recruitment of 14-3-3 proteins on SLP-76	 14-3-3 binding and resulted in higher TCR-dependent IL-2	14-3-3;IL-2
PMC179877	2003	decreases_activity	ERÎ_ Binds N-CoR in the Presence of Estrogens via an LXXLL-like Motif in the N-CoR C-terminus	 estrogen receptor\u03b2 also completely suppresses estrogen receptor\u03b1 activity at the cyclin D1	estrogen receptor\u03b2;cyclin D1
PMC1807973	2007	decreases_activity	The MH1 domain of Smad3 interacts with Pax6 and represses autoregulation of the Pax6 P1 promoter	" Finally , in DNA adsorption assays , activated Smad3 inhibited Pax6 from binding the consensus paired domain recognition sequence ."	Smad3;Pax6
PMC1885470	2007	increases_activity	Syndecan-4â€“dependent Rac1 regulation determines directional migration in response to the extracellular matrix	" In wild-type fibroblasts , syndecan-4 mediates the matrix induced protein kinase Calpha ( PKCalpha ) - dependent activation of Rac1 and localizes Rac1 activity and membrane protrusion to the leading edge of the cell , resulting in persistent migration ."	matrix;Rac1
PMC1885470	2007	increases_activity	Syndecan-4â€“dependent Rac1 regulation determines directional migration in response to the extracellular matrix	 syndecan mutant that was unable to activate PKCalpha and Rac1	syndecan;Rac1
PMC179877	2003	increases_activity	ERÎ_ Binds N-CoR in the Presence of Estrogens via an LXXLL-like Motif in the N-CoR C-terminus	 A HDAC Repressor Enhances ERbeta Activity	HDAC Repressor;ERbeta
PMC1817693	2007	increases_activity	Mechanisms of Acquired Androgen Independence during Arsenic-Induced Malignant Transformation of Human Prostate Epithelial Cells	" HER-2 / neu overexpression often occurs in advanced prostate cancers                  , and stimulates growth and PSA overproduction                    ."	neu;PSA
PMC1262692	2005	increases_activity	Biochemical characterization of Cdk2-Speedy/Ringo A2	 activation of Cdc2 by Cdc25	Cdc25;Cdc2
PMC2564829	2008	decreases_activity	Activated neutrophils induce an hMSH2-dependent G2/M checkpoint arrest and replication errors at a (CA)13-repeat in colon epithelial cells	" Cyclin B1 is required for cdc2 activity , and repression of the cyclin B1 gene by p53 also contributes to blocking entry into mitosis ."	p53;cyclin
PMC1590027	2006	increases_activity	Transcriptome profiling of human hepatocytes treated with Aroclor 1254 reveals transcription factor regulatory networks and clusters of regulated genes	 SP1 and NF-Y ( ECAT ) stimulate transcription of the PKM gene via their interactions .	SP1;PKM
PMC2150699	2000	increases_activity	"Mechanism of N-Wasp Activation by Cdc42 and Phosphatidylinositol 4,5-Bisphosphate"	 Cdc42-induced actin polymerization in extracts requires both N-WASP and Arp2	Cdc42;Arp2
PMC2172328	2004	increases_activity	Atypical protein kinase C (PKCÎ¶/Î») is a convergent downstream target of the insulin-stimulated phosphatidylinositol 3-kinase and TC10 signaling pathways	" Furthermore , it has been reported that overexpression of Par3 in adipocytes inhibits insulin induced glucose uptake and GLUT4 translocation                      ."	insulin;glucose
