source	time	person	location	organization	miscellaneous
emptywheel	2014-10-02T00:00:00	amie williams|thomas e. duncan|lester|marthalene williams|frieden|tom frieden|williams|sonny boy|mark lester|emmanuel|duncan	west africa|monrovia|sierra leone|dallas-fort worth|guinea|dallas|liberia|atlanta	texas health resources|daily mail|disease control and prevention director|cdc|texas health presbyterian hospital|ebola	u.s. investors|liberian
emptywheel	2014-09-30T00:00:00	steve warren|colonel patrick ryder|rami abdelrahman|observatory	afghanistan|aleppo|manbij|syria|iraq	human rights|daily mail|isis|reuters|mr abdulrahman|islamic state|us senate|un|army|pentagon|central command| pentagon|britain-based syrian observatory|the hill|britain-based syrian observatory for human rights	qaeda|islamic state-controlled
emptywheel	2014-09-29T00:00:00	abdullah's|abdullah abdullah|rashid dostum|ghani|abdullah|abdul rashid dostum|dostum|ashraf ghani	arg|kabul|afghanistan|sheberghan|iraq|syria	taliban|bilateral security agreement	afghan|qaida|western
emptywheel	2014-09-27T00:00:00	jeff miller|ray|janay rice|roger goodell|susan|ozzie newsome|chris peterson|jim harbaugh|susan kent davidson	soldier field|nc state|new york|sun devil stadium	espn|jets jets jets|royals|ap|winston|nfl|nfl security office|san fran|stanford	rice|bears|iggles
emptywheel	2014-09-26T00:00:00	martin luther king|king	salon|beyond vietnam|middle east	executive authority|jr's' beyond vietnam|un climate summit|isil	khorasan
emptywheel	2014-09-25T00:00:00	chuck schumer|carrie johnson|holder|lanny breuer|eric holder|preet bharara|caroline krass|ted cruz|don verrilli|schumer|preet|verrilli|robert eatinger|alberto gonzales|johnson	covington|nice|burling|wall street	fisa amendments act|cia general counsel|us attorneys|covington & burling|gop|scotus|supreme court|doj|lame duck	justices|african americans|criminal division|amnesty v. clapper
emptywheel	2014-09-25T00:00:00	carter|salman|prince khaled|jimmy carter|bandar's|nouri al-maliki|barack obama|zbig|brzezinski|assad|bashar al-assad|king abdullah|kerry|zbigniew brzezinski|adel al-jubeir|john kerry	red sea|iran|kabul|riyadh|afghanistan|islamic state|vietnam|iraq|soviet union|russia|moscow|central europe|africa|syria|saudi arabia	isis|national security advisor|vice president biden|ussr|isil|islamic state'|soviets	russians|arab|islamic|mujahadeen|iranian|saudi|moslems|saudis|gulf|soviet|afghan|pro-soviet|qataris|chilean
emptywheel	2014-09-25T00:00:00	ashraf ghani ahmadzai|gordon|abdullah abdullah|ghani|abdullah|michael gordon|ashraf ghani	kabul|afghanistan|iraq	state department|eu|afghan security forces fund|cia|sigar|new york times|congressional research service|bilateral security agreement	afghan
emptywheel	2014-09-24T00:00:00	josh gerstein|chief executive	iraq|syria	u.s. armed forces|public law|jabhat al-nusra|isil	khorasan|kurdish|afghan aumf|aumf
emptywheel	2014-09-23T00:00:00	ronald t. hosko|hosko	wake forest|n.c.	fbi|google|apple	snapchat
emptywheel	2014-09-23T00:00:00	dick cheney|hayes|bashar al-assad|spencer ackerman|stephen hayes	athens|states|istanbul|turkey|iraq|syria|national counterterrorism center|middle east	islamic state militant group|senior official|suspected terrorist|isis|politico	european|guardian|english
emptywheel	2014-09-23T00:00:00	clapper|james ξ|ibrahim al-asiri|spencer ackerman|rogers|gregory johnsen|khorasan| khorasan|micah zenko|james clapper|mike rogers|ken dilanian|peter bergenhas	pakistan|europe|afghanistan|aleppo|yemen|syria	half' clapper|al qaeda|isis|nusra front|too cute|if khorasan|khorasan group|cnn	qaeda|arab|islamic|al-qaida|saudi|western|yemeni
emptywheel	2014-09-22T00:00:00	bahaa al-araji|sultan|steve clemons|nouri al-maliki|prince mohammed|lindsey graham|chuck hagel|prince bandar|assad|susan rice|bashar al-assad|abdullah|bandar|sadr|jabhat al-nusra	munich|jordan|daesh|qatar|baghdad|turkey|syria|iraq|saudi arabia	fsa|isis|shiite cleric moktada al-sadr|king abdullah|islamic state|nyt|u.s. national security adviser	islamist|arabic|c.i.a.|american-led|saudi|qatari|iraqis|saudis|qataris
emptywheel	2014-09-22T00:00:00	muhannad hadi	syria	regional emergency coordinator|wfp|world food programme|united nations' world food programme|us senate	us$| which
emptywheel	2014-09-20T00:00:00	aaron rodgers|adrian peterson|rice|jonathan dwyer|trash talk|peyton|criminal winton|ozzie newsome|drew stanton|steve bisciotti|carson palmer|palmer|ray rice|rex chapman|darren sanders|sanders|roger goodell|don'|janay palmer|jameis winston|goodell|dick cass	scottsdale|revel hotel|seattle|atlantic city|virginia|detroit|qb|mississippi|tuscaloosa	bullets and suns|florida gators|espn|players' union|nfl|espn's outside the lines|new york daily news|national felon league|cardinals|ravens|chargers|article|nba|baltimore ravens|byu|seasquawks	niners|super bowl|cougars|cards|bills|broncs
emptywheel	2014-09-19T00:00:00	ted olson	israel|usa	fbi|fisa court|unit|nsa|sigint|no fly|operations guide|fbi's domestic investigations|fisa	muslim|israeli|palestinian|palestinians|domain assessments|agent|english
emptywheel	2014-09-19T00:00:00	david petraeus|marcy|isis|al qaeda|sunni|sanchez|graham|loretta sanchez|richard dearlove|prince bandar|bashar al-assad|assad|patrick cockburn|richard|colleen hanabusa|jackie walorski|john kline|bob graham	jordan|tampa|iraq|london|persian gulf|great britain|florida|turkey|syria|saudi arabia|middle east	mosul|defense department|cia|islamic state|us senate|house of saud|royal united services institute|shia|nusra front|central intelligence agency|british secret intelligence service|isil|florida governor	kingdom|saudis|times|saudi
emptywheel	2014-09-18T00:00:00	ann curry|hassan rouhani|javad zarif|zarif|assad|rouhani|benjamin netanyahu|john kerry	tehran|iran|europe|new york|iraq	obama administration|isis|nbc news|cia|one democratic|npr|un general assembly|nbc|mehr news|huffington post|p5 +|united nations	israeli|iranian
emptywheel	2014-09-17T00:00:00	v. bush|plaintiffs|victor restis|greenwald|pallis|restis|glenn greenwald|anastasios pallis|lewis fielding|barack obama|daniel ellsberg|ellsberg|mitchell|meir dagan|john mitchell	iran|iraq	american coalition against nuclear iran|obama administration|bush administration|justice department|pentagon papers|uani's advisory board| state secrets privilege declarations'|court's|uani|nixon administration|united against nuclear iran|mohamed v. jeppesen dataplan	israeli|greek|cia|government|defendants
emptywheel	2014-09-17T00:00:00	graber|allen ruby|callahan|jeff novitsky|chief judge|bonds|rawlinson|wardlaw|w. fletcher|alice cooperstown|nguyen|novitsky|n.r. smith|walker|dennis riordan|josh gerstein	friedland|usa	"panel|count five|reinhardt|us attorneys|ausa merry jean chan|jff|federal rules of appellate procedure|uniden corp.|balco|kozinski|orange county breeze|see appellant bonds's petition|f.|am .,|circuit judges|rehearing en banc|doj"	circuit
emptywheel	2014-09-17T00:00:00	oh god|sultan|al qaeda|tom friedman|matt stoller|george bush|carl levin|philip zelikow|martin dempsey|lawrence wright|graham|prince bandar|bandar|bandar bin sultan|zelikow|bob graham	central asia|europe|arab|iraq|pakistan|islam|senators|syria|saudi arabia|middle east	 national security'|first amendment|obama administration|joint chiefs|isis|joint congressional inquiry|congressmen|commission|joint inquiry|salafist islam	muslim|islamist|wahhabis|saudis|saudi|salafist
emptywheel	2014-09-16T00:00:00	azizullah bakhtyari|bakhtyari|faizullah zaki|abdullah abdullah|ghani|hamid karzai|abdullah|ashraf ghani|john kerry	afghanistan	chairman of council of ministers|reuters|islamist taliban|independent election commission|syed aqa fazel sancharaki|council of ministers|chief executive|iec	afghan|western
emptywheel	2014-09-15T00:00:00	reggie walton	yahoo	fbi|usa freedom act|paa|protect america act|google|associate general counsel|agc|yahoo's vp|manager of yahoo's ξ legal compliance|microsoft	ims
emptywheel	2014-09-15T00:00:00	james bamford|der spiegel	wired	nsa|treasure|the intercept|mac|nsa's|ip|internet protocol|national security agency	wifi|treasure map
emptywheel	2014-09-15T00:00:00	muaweya|ismatullah muawiya|asmatullah muaweya|zahir azimi|syed muazzam shah|abdul samad samad	isi|pakistan|punjab|afghanistan|durand line	punjabi taliban|ansf|foreign ministry|mod|express tribune|afghan national security forces|watershed event|afghan ministry of defense|ministry's	islam|pakistani|islamic|afghan
emptywheel	2014-09-13T00:00:00	mike mcconnell|john bates|feingold|russ feingold|bates|wyden|mike mukasey|ron wyden|kahn|schwartz	aden ayro|bush administration|non-united states|united states-person|faa|e.g.	paa|yahoo fiscr|nsa|john|cia|fbi minimization|section|fisa|fbi|director of national intelligence|fiscr|fourth amendment	moalin|basaaly moalin|fisc|yahoo
emptywheel	2014-09-13T00:00:00	ray rice|rice|goodell	arizona|atlantic city|revel casino|new jersey	nfl.|nfl|national football league	atlantic county da|tmz|ravens
emptywheel	2014-09-12T00:00:00	thomas drake|levin|dick cheney|john brennan|carl levin|brennan|larry sanchez	capitol hill|new york city|national counterterrorism center	senate armed services committee|senate intelligence committee|terrorist threat integration center|nypd|inspector general|cia|cia director	osama
emptywheel	2014-09-12T00:00:00	john boehner|david petraeus|fleming|mark begich|boehner|osama bin laden|john fleming|barack obama|begich	afghanistan|louisiana|alaska|islamic state|syria|iraq	taliban|afghan security forces fund|isis|associated press|house republicans|isil	afghan|groundhog day
emptywheel	2014-09-11T00:00:00	perhaps pew| both|pew|edward snowden	boston|iraq|syria|middle east	nsa|wapo|isis| post-snowden era|isil|cnn|national security agency	muslim|islamic|pre-snowden
emptywheel	2014-09-10T00:00:00	harman|chuck todd|holder|saddam hussein|woodrow wilson center|olsen|matthew olsen|eric holder|assad|bashar al-assad|jane harman	arabian peninsula|mosul dam|yemen|iraq|erbil|syria|national counterterrorism center	aqap|al qaeda|isis|congressional|brookings institution|european union	qaeda|sunni
emptywheel	2014-09-09T00:00:00	caitlin hayden|paul|james madison|rand paul|jane harman	republic|afghanistan aumf|syria|iraq	war powers act|war power resolution|their temporary presence|isis|organization of their activities|woodrow wilson international center for scholars|lemon slayer|aumf	afghan|chilean
emptywheel	2014-09-09T00:00:00	abdolreza rahmani fazli|fazli	pakistan|iran|bagram|dubai|kabul|afghanistan|syria|iraq|irna	interior|islamic state of iraq|bandar abbas|isis|rahmani fazli|levant|isil|interior abdolreza rahmani fazli	afghans|pakistanis|daesh|iranian|afghan
emptywheel	2014-09-09T00:00:00	ali|abu zubaydah|khalid sheikh mohammed|khalid sheik mohammed|abdul aziz ali|ammar al-baluchi|abd al-rahim al-nashiri|baluchi	kabul|karachi|salt pit	liz babydick cheney|nashiri|cia|telegraph|ksm	pakistanis|ssci
emptywheel	2014-09-08T00:00:00	john bates|bates|leahy|clapper|patrick leahy|james clapper	usa	nsa|foreign intelligence surveillance court|cdr|fisc|fisa|fbi|special advocates|usa freedom|usa freedumber|administrative office|usa freedumb|call detail record	u.s. courts
emptywheel	2014-09-08T00:00:00	dick cheney|saddam hussein|judy miller|labor day|condi rice|andy card|michael gordon	mosul dam|erbil|syria|iraq	press|al qaeda|new war roll-out|fata|isil|nato	nyt
emptywheel	2014-09-06T00:00:00	judge gerard lynch|goldsmith|smith|jack goldsmith|colleen kollar-kotelly|stellar wind	maryland	nsa|protect america act|olc|fisc|table of contents|supreme court|executive|usa freedom act|usa freedom|internet'|fourth amendment|internet	u.s. 735
emptywheel	2014-09-06T00:00:00	kevin jon heller|jason leopold|david kris|kris|awlaki|chief executive|stephen preston|barron|david barron|heller|preston|anwar al-awlaki	u.s. constitution|white paper	article ii|nsa|olc|traditional military|cia|aumf|deb pearlsteinhas|title|members of congress|presidential finding|fourth amendment|us code|dod|national security act|gloves come off memorandum of notification	qaeda|finding|american people|constitution|u.s. law
emptywheel	2014-09-06T00:00:00	marcy|elena delle donne|brittney|bob schacht|brittney griner|diana taurasi	big house|monza|trash|monaco|south bend|spa	phoenix mercury|chicago sky|wnba finals|nbc sports|phoenix	squawks|italian grand prix|continue|belgian
emptywheel	2014-09-05T00:00:00	bates|vladeck|clapper|leahy|steve vladeck|patrick leahy|reggie walton|john bates|bob litt|alex kozinski|james clapper|judge bates	fisc	fisa court of review|fisa|fbi|fisa court|judiciary''|ξ executive branch|judiciary|dni|patriot act|judicial conference|director bates|foreign intelligence surveillance court|judiciary'|executive's|usa freedom act|executive|first amendment|director of national intelligence|administrative offices	prtt|u.s. courts
emptywheel	2014-09-04T00:00:00	aaron rodgers|bob|yeah|bob schacht|brittney griner|richard sherman|diana taurasi	seattle|brittney|emerald city	phoenix mercury|marcy|heroes of titletown|arizona cardinals|green bay packers|cardinals|seattle seasquawks|wnba	baylor bear|wnba championship|pack
emptywheel	2014-09-04T00:00:00	joe lieberman|abbas araghchi|mike gerson|mohammad zarif|david albright|catherine ashton|william burns|majid takht-ravanchi|wendy sherman|mark salter|fran townsend	tehran|iran|uani|geneva|germany|new york	eu|marcy|foreign ministry|justice department|reuters|state|mossad|the obama|united against nuclear iran|european union|irna|advisory board	greek|iranian
emptywheel	2014-09-03T00:00:00	gosh|anders fogh rasmussen|bismillah mohammadi|abdullah abdullah|rasmussen|hamid karzai|kerry|john kerry	post|wales|afghanistan|brussels	state john f. kerry|islamic emirate|north atlantic treaty organization|taliban|washington post|ansf|afghan national security forces|nato chicago|supreme court|bilateral security agreement|nato	afghan
emptywheel	2014-09-03T00:00:00	keith alexander|morgan|alexander|mike rogers	russia|ukraine|bloomberg	jp morgan|u.s. army	nsa
emptywheel	2014-09-02T00:00:00	judge lynch|clapper|lynch|robert sack|smith|alex abdo|delery|sack|abdo|gerard lynch|stuart delery|james cole|edward snowden	amnesty|maryland	aclu v. clapper|fisa court|usa freedom|western union|fourth amendment|aclu|scotus|section|supreme court|doj	doj civil division
emptywheel	2014-09-02T00:00:00	george orwell|bashar al-assad|coll|steve coll	europe|new yorker|euphrates river|isis|communism|manbij|raqqa|syria|iraq|tishrin|spain|middle east	ξ consumer protection authority|jocelyne cesari|ξ uways al-qarani|nyt	islamic|europeans|cesari|syrians|iraqis
emptywheel	2014-09-01T00:00:00	dawn ξ|tahirul qadri|imran khan|khawaja asif|khan|nawaz|nawaz sharif|hashmi|fizzling out|javed hashmi|imran|sharif	parliament|pakistan|bangladesh|islamabad|afghanistan|india	pat|pti|reuters|cj|justice jilani|pakistan awami tehreek|supreme court	pakistani
emptywheel	2014-08-30T00:00:00	like ferguson|morris davis|kenny|ole ball|ole miss|kevin sumlin|steve spurrier|david byrne|don'|kenny hill|jameis winston|johnny football|weber state	wisconsin|old pueblo|big house|notre dame|west virginia|nevada|arizona|texas|black rock|appalachia|georgia|virginia|alabama|south carolina	marcy|trash talk|jacksonville state|michigan bo merlot wolvereenies|unlv|mountaineers|jim|boise state|ucla|navy midshipmen|ann arbor|gulf coast pirate|dude|rich rod|osu cowboys|trash|ohio state blecheyes|navy|michigan school|fresno state buldogs	gamecocks|irish|aggies|merlot|national championship
emptywheel	2014-08-29T00:00:00	judge gray miller|miller	libya|iran|mediterranean sea|texas|houston|baghdad|kurdistan|turkey|iraqi kurdistan|iraq	united kalavrvta|reuters|u.s. coast guard|iraqi oil ministry|hunt oil's|kurdistan regional government	iraq-owned|kurdish|iraqi kurdish|kurds
emptywheel	2014-08-29T00:00:00	duelfer|adnan al-sweidawi|fadel al-hayali|khudayr|charles duelfer|foley|abu bakr|saddam hussein|hussein|abu zubaydah|khalid sheikh mohammed|sheikh|rahim al-nashiri|james foley|muhammed khudayr	baghdad|iraq|egypt|wmd|saddam	daily beast|ξ mukhabarat|abd|bush white house|isis|justice department|cia|islamic state|nyt|office of vice president cheney	qaeda|baathists|mukhabarat
emptywheel	2014-08-29T00:00:00	support isis|lord byron|george orwell|isis|boyd tonkin|assad|bashar al-assad|cameron|keep calm|david cameron|tony blair|gabe moshenska	catalonia|colombia|venezuela|uk|missolonghi|ecuador|homage|wellington|iraq|syria|spain	dad's army|crown prosecution service	britons|spanish|spanish civil war|british|greek|islamic|terrorism act|second world war|briton|bbc
emptywheel	2014-08-29T00:00:00	ali|dick cheney|muhammed|abu ali	iran|turkey|idlib|syria|middle east	dell|islamic state of iraq|greater us war|fsa|isis|foreign policy|cia|islamic state|fp	tunisian
emptywheel	2014-08-28T00:00:00	francois|foley|katherine hawkins|didier francois|james foley	syria	u.s. air force|isis|justice department|cia|islamic state|al-qaeda	wapo|saudis|westerners|french
emptywheel	2014-08-28T00:00:00	josh rogin|rogin|paul|salem idris|john mccain|idris|bashar al-assad|mouaz moustafa|rand paul|politico	calif.|arizona|reagan library|simi valley|turkey|syria|kentucky	syrian emergency task force|daily beast|executive director|cbs|free syrian army|weasel zippers|supreme military council|the daily beast|hezbollah	turkey-syria|
emptywheel	2014-08-28T00:00:00	theresa shea|edward snowden|pat leahy	ts|pen registers|trap	intercept's icreach|nsa|prtt internet|fbi pr|cia|fbi prtt|icreach|trace'|fisa|fbi|prtt|usa freedom|nsa's internet|br fisa|patriot act|nsa finally	secret
emptywheel	2014-08-27T00:00:00	fazul ahmad manawi|martin dempsey|john campbell|liwal|abdullah abdullah|joseph dunford|ghani|ghafour liwal|abdullah|john kerry	afghanistan	karzai|taliban|new york times|the ξ washington post|bilateral security agreement|nato	kabul-based
emptywheel	2014-08-26T00:00:00	mukasey|michael mukasey|wainstein|vito potenza|steven bradbury|jennifer granick	tab c.|nsa united states	proton|conducting similar communications metadata analysis|intelligence policy|ξ intercept|classified annex|nsa|intercept|acting general counsel|five eyes|cia|spcma|general counsel of cia|general counsel ofnsa|metadata'|icreach|ip|ic|ic agencies|dod|central intelligence agency's|assistant attorney general ken wainstein	prtt|internet-protocol|internet|counsel
emptywheel	2014-08-25T00:00:00	carlotta gall|abdullah's|omar zakhilwal|ghani|abdullah|many western|mujib rahman rahimi|john kerry	kabul|afghanistan	sept.|reuters|new york times|nato|bbc	western|west
emptywheel	2014-08-23T00:00:00	zacarias moussaoui|george bush|jack goldsmith|muhammad naeem noor khan|dhiren barot|khalid sheikh mohammed|abu zubaydah|musaad aruchi|khan|barot|john brennan|babar ahmed|james clapper|tom ridge|brennan	pakistan|uk|north america|nyt	terrorist threat integration center|nsa|inspector general's|memo|bybee memo| scary memos|cia|tenet declaration'|cia director|wmd|scary plot|fbi|fisa court|republican party|scary memo|ksm|joint ig report|doj	north american|north american-based|qaeda|british|tenet|internet
emptywheel	2014-08-22T00:00:00	afkham|mohammad zarif|javad zarif|mohammad javad zarif|zarif|marzieh afkham|] arak|arak	tehran|iran|iraq	afp|foreign ministry|reuters|iranian news agency|levant|foreign ministry spokeswoman marziyeh afkham|un|state department|un ] security council| afkham|isil|irna|takfiri islamic state of iraq	iranian|west
emptywheel	2014-08-21T00:00:00	tye|amy klobuchar|john napier tye|dianne feinstein|mark udall|joel|patrick toomey|john carlin|james clapper|alexander joel	salon|fisa	senate intelligence committee chair|nsa|department of defense|office of director of national intelligence civil liberties officer|privacy|spcma|national security division| sections|department of justice|intelligence oversight board|executive|aclu|eo|ppd|civil liberties oversight board|dni|civil liberties and privacy office	office|internet
emptywheel	2014-08-21T00:00:00	keith alexander|alexander|primary order	bagram|yemen|gitmo|pr	nsa|pr / tt orders|litigation support team|department of defense|fisc|br|executive branch|department of justice|dod|pr / tt|department of justice or department of defense|joint ig report|doj	internet
emptywheel	2014-08-21T00:00:00	imran khan|nawaz sharif|marie harf|abdullah abdullah|kerry|harf|ashraf ghani|sharif|john kerry	pakistan|afghanistan	state department|bilateral security agreement	afghans|afghan|cabinet
emptywheel	2014-08-20T00:00:00	rosenberg|ferguson|abdullah abdullah|hamid karzai|ghani|matthew rosenberg|sadat|abdullah|ashraf ghani|abdul salem ismat|sayed noorullah sadat	wales|afghanistan	state department|times|nato summit|new york times|bilateral security agreement	afghan
emptywheel	2014-08-18T00:00:00	charlie savage|savage|koh|harold koh|david barron	yemen	department of justice|olc|cia|eo|awlaki	executive order
emptywheel	2014-08-18T00:00:00	imran khan|dawn|nawaz sharif|khan|ghani|qadri	pakistan|islamabad|tarbela	pat|pti|reuters|red zone|agp|chief justice nasirul mulk|supreme court	pakistanis|pakistani
emptywheel	2014-08-16T00:00:00	abdulmutallab|awlaki|nasir al-wuhayshi|claims awlaki|david barron|fahd al-quso|umar farouk abdulmutallab	arabian peninsula|arabic|saudi arabia	fbi|high value interrogation group|ic|hig|olc|intelligence community|cia|anwar al-awlaki	undiebomb|anwar|english|al-majala|bedouin
emptywheel	2014-08-16T00:00:00	jeremy scahill|gellman|barton gellman	munich|california|germany|operation aurora	british-owned gamma group|flickr ] first|google|youtube	south korean
emptywheel	2014-08-14T00:00:00	siegel	nslb	nsd|olc|assistant general counsel|foreign intelligence surveillance court|ecpa nsl|department's national security division|section|fisa|fbi|fbi headquarters|fisa court|ecpa section|usa freedom|deputy general counsel|ig|national security law branch|ecpa|department's office of legal counsel|nsl|doj ig|fbi general counsel	operations section|nsls|internet
emptywheel	2014-08-14T00:00:00	h.l. pohlman|freedom|julian assange|rottman|pohlman|leahy|judge james zagel|patrick leahy|gabe rottman	center|leahy freedom|verizon	fedex|nsa|western union|pclob|fisc|section|cnss|usa freedom act|attorney general|usa freedom|usa freedumber|doj ig nsl report|pclob's|specific selection term|national security studies|patriot act|nsl|call detail record	government|cdr|internet
emptywheel	2014-08-14T00:00:00	goldsmith|comey|jim comey|judge colleen kollar-kotelly|jack goldsmith|tom delay|robert mueller	salon	executive branch|constitution|doj	internet|fisa
emptywheel	2014-08-13T00:00:00	john|andres fog rasmussen|ashraf ghani|ashraf ghani ahmadzai| rasmussen|fizullah zaki|mohammad khan|abdullah abdullah|ghani|kerry|abdullah|john kerry	afghanistan|iraq	washington post|reuters|bsa|bilateral security agreement|nato	iraq-era|afghan
emptywheel	2014-08-13T00:00:00	david sanger|michael hayden|edward snowden	natanz|israel|syria	nsa|us-based internet|tao	israeli-made|israelis|syrians|internet
