id,date,type,city,state,ideology,group,description,image
4722,10/30/2018,White Supremacist Propaganda,Orlando,FL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers at the University of Central Florida. The flyers read: ""Keep America American,"" ""Not stolen conquered,"" ""To ourselves and our posterity,"" and ""Reclaim America.""",
4723,10/30/2018,White Supremacist Propaganda,Washington,DC,Right Wing (White Supremacist),,An unknown person distributed anti-Semitic flyers attributed to Peter J. Cojanis.,
4724,10/29/2018,White Supremacist Propaganda,North Richmond Hills,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Life liberty and the pursuit of victory,"" ""Reject poison,"" ""To ourselves and our posterity,"" and ""America first.""",
4725,10/29/2018,White Supremacist Propaganda,Sauk County,WI,Right Wing (White Supremacist),,"An unknown person or group distributed fliers that read: ""White lives Matter.""",
4726,10/28/2018,White Supremacist Propaganda,Phoenix,AZ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Arizona State University in Phoenix. The flyers read: ""European roots American greatness.""",
4727,10/28/2018,White Supremacist Propaganda,Helena,MT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Carroll College in Helena. The flyers read: ""Our Generation, Our Future, Our Last Chance.""",
4728,10/28/2018,White Supremacist Propaganda,Helena,MT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Helena College University of Montana. The flyers read: ""Our Generation, Our Future, Our Last Chance.""",
4729,10/28/2018,White Supremacist Propaganda,Middletown,VA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Lord Fairfax Communiy College. The flyers read: ""Our Generation, Our Future, Our Last Chance.""",
4730,10/28/2018,White Supremacist Propaganda,Tucker,GA,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed flyers that read: ""The KKK wants you. Help us fight the spread of Islam in our country.""",
4731,10/28/2018,White Supremacist Propaganda,Lakeville,MN,Right Wing (White Supremacist),,An unknown person or group distributed flyers bearing a swastika symbol and inflammatory language.,
5090,10/27/2018,Extremist Murder;Extremist/Police Shootout;Terrorist Plot/Attack,Pittsburgh,PA,Right Wing (White Supremacist),,"White supremacist Robert Gregory Bowers, 46, conducted a deadly shooting spree at the Tree of Life synagogue, killing 11 and wounding seven more. Bowers appears to have been motivated by anti-Semitic and anti-immigrant convictions.",
4732,10/26/2018,White Supremacist Propaganda,Rochester,NY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed postcards featuring their group logo.",
4733,10/25/2018,White Supremacist Propaganda,Billings,MT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at the Unversity of Rochester in Billings. The flyers read: ""European roots American greatness.""",
4734,10/25/2018,White Supremacist Propaganda,Denver,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed stickers featuring their group logo.",
4735,10/24/2018,White Supremacist Propaganda,Kearney,NE,Right Wing (White Supremacist),,"An unknown individual or group distributed flyers at the University of Nebraska that read: ""Prevent white minority by 2044.”",
4736,10/23/2018,White Supremacist Propaganda,New Paltz,NY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed stickers featuring their group logo at the State University of New York.",
4737,10/23/2018,White Supremacist Propaganda,Brentwood,TN,Right Wing (White Supremacist),,"An unknown person or group distributed flyers that read: ""It's alright to be white"" and ""The world can be made white and brighter.""",
4738,10/22/2018,White Supremacist Propaganda,Middletown,NY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed postcards featuring their group logo.",
4739,10/21/2018,White Supremacist Propaganda,Tulsa,OK,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Only we can be us.""",
4740,10/21/2018,White Supremacist Propaganda,Chickasha,OK,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at University of Arts & Sciences Oklahoma. The flyers read: ""United we stand,"" ""Serve your people,"" and ""Only we can be us."" They also posted stickers featuring their group logo.",
4741,10/21/2018,White Supremacist Propaganda,New Port Richey,FL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers at Pasco Hernando State College. The flyers read: ""Better dead than red,"" Keep America American,"" and ""Reclaim America.""",
5060,10/21/2018,White Supremacist Event,Tulsa,OK,Right Wing (White Supremacist),Identity Evropa,"Approximately five members of Identity Evropa stood on an overpass holding a banner that read, ""No sanctuary build the wall.”",
4742,10/20/2018,White Supremacist Propaganda,Salt Lake City,UT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed stickers featuring their group logo at Salt Lake Community College.",
4743,10/20/2018,White Supremacist Propaganda,Salt Lake City,UT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed stickers featuring their group logo the University of Utah.",
4744,10/20/2018,White Supremacist Propaganda,Hurst,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers at Tarrant County College’s Northeast campus. The flyers read: ""Better dead than red,"" Keep America American,"" and ""Reclaim America.""",
5061,10/20/2018,White Supremacist Event,Scottsburg,IN,Right Wing (White Supremacist),Honorable Sacred Knights of the Ku Klux Klan,"Approximately seven members of the Honorable Sacred Knights, a Klan group, held a flash demonstration on Main Street and distributed recruitment fliers.",
4745,10/19/2018,White Supremacist Propaganda,Irvine,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at University of California. The flyers read: ""Our Generation, Our Future, Our Last Chance."" They also posted stickers featuring their group logo.",
4746,10/19/2018,White Supremacist Propaganda,Riverside,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment fliers.",
4747,10/18/2018,White Supremacist Propaganda,Cary,NC,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""White man are you sick and tired of the Jews destroying your country through mass immigration and degeneracy?""",
4748,10/18/2018,White Supremacist Propaganda,Laramie,WY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at the University of Wyoming. The flyers read: ""Our Generation, Our Future, Our Last Chance.""",
4749,10/18/2018,White Supremacist Propaganda,Cheney,WA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed stickers featuring their group logo at Eastern Washington University.",
4750,10/18/2018,White Supremacist Propaganda,Baltimore,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment fliers that read: ""Help us win back your rights that have been given to others. The Jew’s are taking over and the n*****s are right behind them.”",
4751,10/17/2018,White Supremacist Propaganda,Plano,TX,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4752,10/17/2018,White Supremacist Propaganda,Sterling Heights,MI,Right Wing (White Supremacist),National Socialist Legion,"National Socialist Legion, a neo-Nazi group, distributed flyers that read: ""Break the shackles of Jewish oppression."" Another flyer read ""White Revolution"" and included an image of a gunman taking aim at minorities.",
4753,10/16/2018,White Supremacist Propaganda,Chicago,IL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at DePaul University. The flyers read: ""Our Generation, Our Future, Our Last Chance.""",
4754,10/16/2018,White Supremacist Propaganda,Jacksonville,FL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at the University of Florida. The flyers read: ""Our Generation, Our Future, Our Last Chance.""",
4755,10/16/2018,White Supremacist Propaganda,Salt Lake City,UT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed postcards featuring their group logo at the Salt Lake Public Library.",
4756,10/16/2018,White Supremacist Propaganda,NY,NY,Right Wing (White Supremacist),,"An unknown person or group painted a white supremacist slogan known as the ""14 words"" on the New Jersey bound side of the Lincoln Tunnel.",
4757,10/14/2018,White Supremacist Propaganda,Reno,NV,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4758,10/14/2018,White Supremacist Propaganda,Atlanta,GA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers targeting Atlanta Mayor Keisha Bottoms.",
4759,10/13/2018,White Supremacist Propaganda,Henderson,KY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Immigration and Customs Enforcement thank you for all that you do for our country."" They also posted stickers featuring their group logo.",
4760,10/13/2018,White Supremacist Propaganda,Colorado Springs,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Pikes Peak Community College in Colorado Springs. The flyers read: ""Our generation, Our future, Our last chance.""",
4761,10/13/2018,White Supremacist Propaganda,Pittsford,NY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed stickers featuring their group logo.",
4762,10/13/2018,White Supremacist Propaganda,Cherry Hill,NJ,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed anti-Semitic flyers titled: ""Jewish hate of the aryan race in their own words.""",
4763,10/13/2018,White Supremacist Propaganda,Kirkland,WA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Will your speech be hate speech?"" and ""Keep America American.""",
5062,10/13/2018,White Supremacist Event,Greenville,SC,Right Wing (White Supremacist),SC Conservative Action Council,"Approximately 15 people participated in a ""Build the Wall” rally including white supremacist members of the South Carolina Conservative Action Council and the Nationalist Liberty Union.",
4764,10/12/2018,White Supremacist Propaganda,Princeton,NJ,Right Wing (White Supremacist),New Jersey European Heritage Association,"New Jersey European Heritage Association, an alt right group, distributed stickers that read: ""Reclaim your nation reclaim your heritage.""",
4765,10/11/2018,White Supremacist Propaganda,Columbus,OH,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Ohio State University. The flyers read: ""Our generation, Our future, Our last chance"" and ""Immigration and Customs Enforcement thank you for all that you do for our country."" They also posted stickers featuring their group logo.",
4766,10/11/2018,White Supremacist Propaganda,Philadelphia,PA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed postcards featuring their group logo at Drexel University.",
4767,10/11/2018,White Supremacist Propaganda,San Marcos,TX,Right Wing (White Supremacist),,An unknown person or group reportedly left white supremacist business cards at Texas State University.,
4768,10/10/2018,White Supremacist Propaganda,Philadelphia,PA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed postcards featuring their group logo.",
4769,10/10/2018,White Supremacist Propaganda,Bainbridge Island,WA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed postcards featuring their group logo.",
4770,10/9/2018,White Supremacist Propaganda,Billings,MT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance"" and ""Protect your heritage.""",
4771,10/9/2018,White Supremacist Propaganda,Salt Lake City,UT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed postcards featuring their group logo at Salt Lake City Community College.",
4772,10/9/2018,White Supremacist Propaganda,Corinth,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Money does not rule you"" and ""Not stolen conquered.""",
4773,10/9/2018,White Supremacist Propaganda,Champaign,IL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Will your speech be hate speech,"" ""Not stolen conquered,"" ""To ourselves and our posterity,"" and ""Keep America American.""",
4774,10/8/2018,White Supremacist Propaganda,Worcester,MA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Becker College. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4775,10/8/2018,White Supremacist Propaganda,Los Angeles,CA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Citrus College. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4776,10/8/2018,White Supremacist Propaganda,Long Beach,CA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4777,10/8/2018,White Supremacist Propaganda,Hermosa Beach,CA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4778,10/8/2018,White Supremacist Propaganda,Fort Myers,FL,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4779,10/8/2018,White Supremacist Propaganda,Joliet,IL,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4780,10/8/2018,White Supremacist Propaganda,Des Moines,IA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4781,10/8/2018,White Supremacist Propaganda,Fishkill,NY,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4782,10/8/2018,White Supremacist Propaganda,Fargo,ND,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4783,10/8/2018,White Supremacist Propaganda,Houston,TX,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4784,10/8/2018,White Supremacist Propaganda,Poughkeepsie,NY,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Dutchess Community College. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4785,10/8/2018,White Supremacist Propaganda,Painesville,OH,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Lake Erie College. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4786,10/8/2018,White Supremacist Propaganda,Poughkeepsie,NY,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Marist College. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4787,10/8/2018,White Supremacist Propaganda,Berkeley,CA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Maybeck High School. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4788,10/8/2018,White Supremacist Propaganda,Salem,VA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Roanoke College. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4789,10/8/2018,White Supremacist Propaganda,San Diego,CA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at San Diego State University. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4790,10/8/2018,White Supremacist Propaganda,Davis,CA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at University of California Berkeley. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4791,10/8/2018,White Supremacist Propaganda,Berkeley,CA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at University of California Amherst. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4792,10/8/2018,White Supremacist Propaganda,Amherst,MA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at University of Massachusetts. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4793,10/8/2018,White Supremacist Propaganda,Denton,TX,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at University of North Texas. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4794,10/8/2018,White Supremacist Propaganda,Roanoke,VA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Virginia Western Community College. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4795,10/8/2018,White Supremacist Propaganda,Arlington,VA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation, Our Future, Our Last Chance."" They also posted stickers featuring their group logo.",
4796,10/8/2018,White Supremacist Propaganda,Hot Springs,AR,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation, Our Future, Our Last Chance."" They also posted stickers featuring their group logo.",
4797,10/8/2018,White Supremacist Propaganda,Philadelphia,PA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
4798,10/8/2018,White Supremacist Propaganda,Montgomery,AL,Right Wing (White Supremacist),League of the South,"League of the South, a white supremacist group, distributed anti-immigration flyers that read: ""Happy Columbus Day. This land is our land!""",
4799,10/8/2018,White Supremacist Propaganda,Pittsburgh,PA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda featuring their group logo in downtown Pittsburgh.",
4800,10/8/2018,White Supremacist Propaganda,Auburn,MA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Better dead than red.""",
4801,10/8/2018,White Supremacist Propaganda,Quincy,IL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Reclaim America"" and "" Keep America American.""",
4802,10/8/2018,White Supremacist Propaganda,Norman,OK,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers at the University of Oklahoma. The flyers read: ""Will your speech be hate speech,"" ""Not stolen conquered,"" ""Better dead than red,"" and ""Money does not rule you.""",
5063,10/8/2018,White Supremacist Event,Columbus,OH,Right Wing (White Supremacist),Identity Evropa,"Approximately six members of Identity Evropa stood in front of a Christopher Columbus statue holding a banner that read, ""Explorer – Sailor – Settler Our History will not be defamed.”
",
4803,10/7/2018,White Supremacist Propaganda,Reno,NV,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4804,10/7/2018,White Supremacist Propaganda,Worcester,MA,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Worcester Polytechnic Institute. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4805,10/7/2018,White Supremacist Propaganda,Stamford,CT,Right Wing (White Supremacist),Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Let's become great again"" and ""Immigration and Customs Enforcement thank you for all that you do for our country.""",
4806,10/7/2018,White Supremacist Propaganda,Key West,FL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
4807,10/7/2018,White Supremacist Propaganda,Baltimore,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed flyers that were critical of immigrants and people of Mexican descent.",
4808,10/7/2018,White Supremacist Propaganda,Louisville,KY,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Will your speech be hate speech,"" ""Life liberty and the pursuit of victory,"" ""Reclaim America,"" and ""Money does not rule you.""",
4809,10/6/2018,White Supremacist Propaganda,Poughkeepsie,NY,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at Vassar College. The flyers read: ""Every time some anti-white, anti-America, anti-Freedom event takes place, you look at it, and it's Jews behind it.""",
4810,10/6/2018,White Supremacist Propaganda,Greensboro,NC,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Greensboro College. The flyers read: ""Our generation, Our future, Our last chance.""",
4811,10/6/2018,White Supremacist Propaganda,Bozeman,MT,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers at Montana State University. The flyers read: ""Our generation, Our future, Our last chance.""",
4812,10/6/2018,White Supremacist Propaganda,Champaign,IL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers at the University of Illinois. The flyers read: ""To ourselves and our posterity,"" ""Better dead than red,"" and ""Reclaim America.""",
4813,10/6/2018,White Supremacist Propaganda,Crown Point,IN,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""To ourselves and our posterity,"" ""Life, liberty and the pursuit of victory,"" ""Keep America American,"" and ""Reclaim America.""",
4814,10/6/2018,White Supremacist Propaganda,Tucson,AZ,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Will your speech be hate speech,"" ""Better dead than red,"" and ""Reclaim America.""",
4815,10/5/2018,White Supremacist Propaganda,NY,NY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Protect your heritage."" They also posted stickers featuring their group logo.",
4816,10/5/2018,White Supremacist Propaganda,Plymouth Meeting,PA,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed anti-Semitic flyers titled: ""Jewish hate of the aryan race in their own words.""",
5064,10/5/2018,White Supremacist Event,San Diego,CA,Right Wing (White Supremacist),Hammerskins,"Over the weekend, individuals associated with the Hammerskin Nation, a racist skinhead crew, and their support group, Crew 38, gathered for their annual Hammerfest event.",
4817,10/4/2018,White Supremacist Propaganda,Washington,DC,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted flyers targeting Dr. Christine Fair a professor at Georgetown University.",
4818,10/4/2018,White Supremacist Propaganda,Brighton,NY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
4819,10/4/2018,White Supremacist Propaganda,Carrollton,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Not stolen conquered,"" ""Better dead than red,"" ""Money does not rule you,"" and ""Reclaim America.""",
4820,10/4/2018,White Supremacist Propaganda,Fort Worth,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Not stolen conquered,"" ""Better dead than red,"" and ""Reclaim America.""",
